Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
21 Jump Street,1,American pie,https://trends.google.ca/trends/explore?q=american+pie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
21 Jump Street,2,Knocked up,https://trends.google.ca/trends/explore?q=knocked+up&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
21 Jump Street,3,21 jump street reparto,https://trends.google.ca/trends/explore?q=21+jump+street+reparto&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
21 Jump Street,4,Melodie 21 jump street,https://trends.google.ca/trends/explore?q=melodie+21+jump+street&date=now+7-d&geo=US,"+4,400%",154,Movie,2024-10-03
21 Jump Street,5,Lab rats,https://trends.google.ca/trends/explore?q=lab+rats&date=now+7-d&geo=US,+600%,154,Movie,2024-10-03
21 Jump Street,6,Spencer boldman,https://trends.google.ca/trends/explore?q=spencer+boldman&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
21 Jump Street,7,Jonah hill net worth,https://trends.google.ca/trends/explore?q=jonah+hill+net+worth&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
21 Jump Street,8,Scott pilgrim,https://trends.google.ca/trends/explore?q=scott+pilgrim&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
21 Jump Street,9,New girl,https://trends.google.ca/trends/explore?q=new+girl&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
21 Jump Street,10,Jenna dewan,https://trends.google.ca/trends/explore?q=jenna+dewan&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
21 Jump Street,11,Dom deluise,https://trends.google.ca/trends/explore?q=dom+deluise&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
21 Jump Street,12,Johnny simmons,https://trends.google.ca/trends/explore?q=johnny+simmons&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
21 Jump Street,13,Peter deluise 21 jump street movie,https://trends.google.ca/trends/explore?q=peter+deluise+21+jump+street+movie&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
21 Jump Street,14,Captain marvel,https://trends.google.ca/trends/explore?q=captain+marvel&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
21 Jump Street,15,Amber stevens west,https://trends.google.ca/trends/explore?q=amber+stevens+west&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
21 Jump Street,16,Ellie kemper movies and tv shows,https://trends.google.ca/trends/explore?q=ellie+kemper+movies+and+tv+shows&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
21 Jump Street,17,Scream,https://trends.google.ca/trends/explore?q=scream&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
21 Jump Street,18,Zack 21 jump street,https://trends.google.ca/trends/explore?q=zack+21+jump+street&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
21 Jump Street,19,21 jump street musical,https://trends.google.ca/trends/explore?q=21+jump+street+musical&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
21 Jump Street,20,21 jump street dakota johnson,https://trends.google.ca/trends/explore?q=21+jump+street+dakota+johnson&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
21 Jump Street,21,Dakota johnson,https://trends.google.ca/trends/explore?q=dakota+johnson&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
21 Jump Street,22,23 jump street,https://trends.google.ca/trends/explore?q=23+jump+street&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
