Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Alaskan Bush People,1,What happened to bird from alaskan bush people,https://trends.google.ca/trends/explore?q=what+happened+to+bird+from+alaskan+bush+people&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Alaskan Bush People,2,Bird from alaskan bush people,https://trends.google.ca/trends/explore?q=bird+from+alaskan+bush+people&date=now+7-d&geo=US,+700%,216,TV Show,2024-10-03
Alaskan Bush People,3,Alaskan bush people bird,https://trends.google.ca/trends/explore?q=alaskan+bush+people+bird&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
Alaskan Bush People,4,Bird brown,https://trends.google.ca/trends/explore?q=bird+brown&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Alaskan Bush People,5,Bird brown alaskan bush people,https://trends.google.ca/trends/explore?q=bird+brown+alaskan+bush+people&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Alaskan Bush People,6,Is alaskan bush people real,https://trends.google.ca/trends/explore?q=is+alaskan+bush+people+real&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Alaskan Bush People,7,Alaskan bush people kids,https://trends.google.ca/trends/explore?q=alaskan+bush+people+kids&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Alaskan Bush People,8,Rain from alaskan bush people,https://trends.google.ca/trends/explore?q=rain+from+alaskan+bush+people&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Alaskan Bush People,9,Will alaskan bush people return,https://trends.google.ca/trends/explore?q=will+alaskan+bush+people+return&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Alaskan Bush People,10,Alaskan bush people net worth,https://trends.google.ca/trends/explore?q=alaskan+bush+people+net+worth&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Alaskan Bush People,11,Rain alaskan bush people,https://trends.google.ca/trends/explore?q=rain+alaskan+bush+people&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Alaskan Bush People,12,Rain brown,https://trends.google.ca/trends/explore?q=rain+brown&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Alaskan Bush People,13,How many seasons of alaskan bush people,https://trends.google.ca/trends/explore?q=how+many+seasons+of+alaskan+bush+people&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
