Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Alien: Romulus,1,Scary movies,https://trends.google.ca/trends/explore?q=scary+movies&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,2,Bramayugam,https://trends.google.ca/trends/explore?q=bramayugam&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,3,Deadpool and wolverine disney plus,https://trends.google.ca/trends/explore?q=deadpool+and+wolverine+disney+plus&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,4,Long legs,https://trends.google.ca/trends/explore?q=long+legs&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,5,Dead talents society,https://trends.google.ca/trends/explore?q=dead+talents+society&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,6,The girl with the needle,https://trends.google.ca/trends/explore?q=the+girl+with+the+needle&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,7,Cailee spaeny movies,https://trends.google.ca/trends/explore?q=cailee+spaeny+movies&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,8,Alien romulus end credit scene,https://trends.google.ca/trends/explore?q=alien+romulus+end+credit+scene&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,9,Chime movie,https://trends.google.ca/trends/explore?q=chime+movie&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,10,Salem's lot,https://trends.google.ca/trends/explore?q=salem's+lot&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,11,Exhuma,https://trends.google.ca/trends/explore?q=exhuma&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,12,Alien romulus cast basketball player,https://trends.google.ca/trends/explore?q=alien+romulus+cast+basketball+player&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,13,Does alien romulus have a post credit scene,https://trends.google.ca/trends/explore?q=does+alien+romulus+have+a+post+credit+scene&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,14,Basketball player in alien romulus,https://trends.google.ca/trends/explore?q=basketball+player+in+alien+romulus&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,15,Aileen wu,https://trends.google.ca/trends/explore?q=aileen+wu&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
Alien: Romulus,16,Your monster,https://trends.google.ca/trends/explore?q=your+monster&date=now+1-d&geo=US,+750%,154,Movie,2024-10-02
Alien: Romulus,17,Neca alien romulus,https://trends.google.ca/trends/explore?q=neca+alien+romulus&date=now+1-d&geo=US,+650%,154,Movie,2024-10-02
Alien: Romulus,18,Alien romulus apple tv,https://trends.google.ca/trends/explore?q=alien+romulus+apple+tv&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
Alien: Romulus,19,Alien franchise,https://trends.google.ca/trends/explore?q=alien+franchise&date=now+1-d&geo=US,+200%,154,Movie,2024-10-02
Alien: Romulus,20,Cuckoo,https://trends.google.ca/trends/explore?q=cuckoo&date=now+1-d&geo=US,+200%,154,Movie,2024-10-02
Alien: Romulus,21,When did alien romulus come out,https://trends.google.ca/trends/explore?q=when+did+alien+romulus+come+out&date=now+1-d&geo=US,+180%,154,Movie,2024-10-02
Alien: Romulus,22,Venom,https://trends.google.ca/trends/explore?q=venom&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Alien: Romulus,23,Amazon prime video,https://trends.google.ca/trends/explore?q=amazon+prime+video&date=now+1-d&geo=US,+160%,154,Movie,2024-10-02
Alien: Romulus,24,Who played the alien in alien romulus,https://trends.google.ca/trends/explore?q=who+played+the+alien+in+alien+romulus&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
Alien: Romulus,25,The joker,https://trends.google.ca/trends/explore?q=the+joker&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
