Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Altered Carbon,1,Ctac altered carbon,https://trends.google.ca/trends/explore?q=ctac+altered+carbon&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Altered Carbon,2,Altered carbon fandom,https://trends.google.ca/trends/explore?q=altered+carbon+fandom&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Altered Carbon,3,Rimworld altered carbon,https://trends.google.ca/trends/explore?q=rimworld+altered+carbon&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Altered Carbon,4,Altered carbon review,https://trends.google.ca/trends/explore?q=altered+carbon+review&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Altered Carbon,5,Altered carbon tattoo,https://trends.google.ca/trends/explore?q=altered+carbon+tattoo&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Altered Carbon,6,Joel kinnaman height,https://trends.google.ca/trends/explore?q=joel+kinnaman+height&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Altered Carbon,7,Envoys altered carbon,https://trends.google.ca/trends/explore?q=envoys+altered+carbon&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Altered Carbon,8,For all mankind,https://trends.google.ca/trends/explore?q=for+all+mankind&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Altered Carbon,9,Altered carbon elders,https://trends.google.ca/trends/explore?q=altered+carbon+elders&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Altered Carbon,10,Altered carbon game,https://trends.google.ca/trends/explore?q=altered+carbon+game&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Altered Carbon,11,3 body problem,https://trends.google.ca/trends/explore?q=3+body+problem&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Altered Carbon,12,Poe altered carbon,https://trends.google.ca/trends/explore?q=poe+altered+carbon&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
