Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
American Gods,1,American gods leprechaun actor,https://trends.google.ca/trends/explore?q=american+gods+leprechaun+actor&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
American Gods,2,Chaos netflix,https://trends.google.ca/trends/explore?q=chaos+netflix&date=now+7-d&geo=US,"+4,800%",216,TV Show,2024-10-03
American Gods,3,American gods streaming platform,https://trends.google.ca/trends/explore?q=american+gods+streaming+platform&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Gods,4,Kaos cast,https://trends.google.ca/trends/explore?q=kaos+cast&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Gods,5,Peter stormare,https://trends.google.ca/trends/explore?q=peter+stormare&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
American Gods,6,American gods by neil gaiman,https://trends.google.ca/trends/explore?q=american+gods+by+neil+gaiman&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
American Gods,7,Chris obi,https://trends.google.ca/trends/explore?q=chris+obi&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
American Gods,8,American gods mr nancy,https://trends.google.ca/trends/explore?q=american+gods+mr+nancy&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
American Gods,9,American gods plot,https://trends.google.ca/trends/explore?q=american+gods+plot&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
American Gods,10,Ostara american gods,https://trends.google.ca/trends/explore?q=ostara+american+gods&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
American Gods,11,Loki american gods,https://trends.google.ca/trends/explore?q=loki+american+gods&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
American Gods,12,Where can i stream american gods,https://trends.google.ca/trends/explore?q=where+can+i+stream+american+gods&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
American Gods,13,Yetide badaki,https://trends.google.ca/trends/explore?q=yetide+badaki&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
American Gods,14,Who is mr world american gods,https://trends.google.ca/trends/explore?q=who+is+mr+world+american+gods&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
American Gods,15,Bilquis,https://trends.google.ca/trends/explore?q=bilquis&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
American Gods,16,How many seasons of american gods,https://trends.google.ca/trends/explore?q=how+many+seasons+of+american+gods&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
American Gods,17,American gods trailer,https://trends.google.ca/trends/explore?q=american+gods+trailer&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
American Gods,18,American gods watch free,https://trends.google.ca/trends/explore?q=american+gods+watch+free&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
American Gods,19,Gillian anderson,https://trends.google.ca/trends/explore?q=gillian+anderson&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
American Gods,20,American gods prime,https://trends.google.ca/trends/explore?q=american+gods+prime&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
