Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Angel,1,Where is angel soft toilet paper made,https://trends.google.ca/trends/explore?q=where+is+angel+soft+toilet+paper+made&date=now+7-d&geo=US,"+3,850%",216,TV Show,2024-10-03
Angel,2,Washington spirit vs angel city fc,https://trends.google.ca/trends/explore?q=washington+spirit+vs+angel+city+fc&date=now+7-d&geo=US,"+2,600%",216,TV Show,2024-10-03
Angel,3,Angel hidalgo,https://trends.google.ca/trends/explore?q=angel+hidalgo&date=now+7-d&geo=US,"+1,400%",216,TV Show,2024-10-03
Angel,4,Teresa weatherspoon,https://trends.google.ca/trends/explore?q=teresa+weatherspoon&date=now+7-d&geo=US,"+1,200%",216,TV Show,2024-10-03
Angel,5,Adopt an angel,https://trends.google.ca/trends/explore?q=adopt+an+angel&date=now+7-d&geo=US,+700%,216,TV Show,2024-10-03
Angel,6,Guardian angel day,https://trends.google.ca/trends/explore?q=guardian+angel+day&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Angel,7,Angel correa,https://trends.google.ca/trends/explore?q=angel+correa&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Angel,8,Mofusand hippers,https://trends.google.ca/trends/explore?q=mofusand+hippers&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Angel,9,Angel zerpa,https://trends.google.ca/trends/explore?q=angel+zerpa&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Angel,10,Angel soft toilet paper,https://trends.google.ca/trends/explore?q=angel+soft+toilet+paper&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Angel,11,Toys for tots,https://trends.google.ca/trends/explore?q=toys+for+tots&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Angel,12,Guardian angel prayer,https://trends.google.ca/trends/explore?q=guardian+angel+prayer&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Angel,13,Angel tree registration,https://trends.google.ca/trends/explore?q=angel+tree+registration&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Angel,14,Guardian angel prayer catholic,https://trends.google.ca/trends/explore?q=guardian+angel+prayer+catholic&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Angel,15,Origami angel,https://trends.google.ca/trends/explore?q=origami+angel&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Angel,16,Salvation army angel tree,https://trends.google.ca/trends/explore?q=salvation+army+angel+tree&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Angel,17,Salvation army angel tree 2024,https://trends.google.ca/trends/explore?q=salvation+army+angel+tree+2024&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Angel,18,Angel tree application,https://trends.google.ca/trends/explore?q=angel+tree+application&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Angel,19,Angel tree program,https://trends.google.ca/trends/explore?q=angel+tree+program&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Angel,20,Salvation army,https://trends.google.ca/trends/explore?q=salvation+army&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Angel,21,Angel reese contract,https://trends.google.ca/trends/explore?q=angel+reese+contract&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Angel,22,Weeping angel,https://trends.google.ca/trends/explore?q=weeping+angel&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Angel,23,Angel tree 2024,https://trends.google.ca/trends/explore?q=angel+tree+2024&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Angel,24,Angel stadium,https://trends.google.ca/trends/explore?q=angel+stadium&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Angel,25,Angel reese salary,https://trends.google.ca/trends/explore?q=angel+reese+salary&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
