Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Army of the Dead,1,Army of the dead zombie king,https://trends.google.ca/trends/explore?q=army+of+the+dead+zombie+king&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of the Dead,2,Samantha win,https://trends.google.ca/trends/explore?q=samantha+win&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of the Dead,3,Is army of thieves related to army of the dead,https://trends.google.ca/trends/explore?q=is+army+of+thieves+related+to+army+of+the+dead&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of the Dead,4,The nun,https://trends.google.ca/trends/explore?q=the+nun&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of the Dead,5,Yellowjackets,https://trends.google.ca/trends/explore?q=yellowjackets&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Army of the Dead,6,Bruce campbell,https://trends.google.ca/trends/explore?q=bruce+campbell&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Army of the Dead,7,Vegas zombie movie,https://trends.google.ca/trends/explore?q=vegas+zombie+movie&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Army of the Dead,8,Army of the dead streaming,https://trends.google.ca/trends/explore?q=army+of+the+dead+streaming&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Army of the Dead,9,Richard cetrone,https://trends.google.ca/trends/explore?q=richard+cetrone&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Army of the Dead,10,Army of the dead 2 release date,https://trends.google.ca/trends/explore?q=army+of+the+dead+2+release+date&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Army of the Dead,11,Army of the dead bruce campbell,https://trends.google.ca/trends/explore?q=army+of+the+dead+bruce+campbell&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Army of the Dead,12,Army of the dead prequel,https://trends.google.ca/trends/explore?q=army+of+the+dead+prequel&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Army of the Dead,13,Is army of the dead a sequel,https://trends.google.ca/trends/explore?q=is+army+of+the+dead+a+sequel&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Army of the Dead,14,World war z,https://trends.google.ca/trends/explore?q=world+war+z&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Army of the Dead,15,Halloween movies,https://trends.google.ca/trends/explore?q=halloween+movies&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Army of the Dead,16,Army of the dead trailer,https://trends.google.ca/trends/explore?q=army+of+the+dead+trailer&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Army of the Dead,17,Army of the dead 2008,https://trends.google.ca/trends/explore?q=army+of+the+dead+2008&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Army of the Dead,18,Dave bautista movies,https://trends.google.ca/trends/explore?q=dave+bautista+movies&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Army of the Dead,19,Army of the dead movies in order,https://trends.google.ca/trends/explore?q=army+of+the+dead+movies+in+order&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
