Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Army of Thieves,1,Army of thieves trilogy,https://trends.google.ca/trends/explore?q=army+of+thieves+trilogy&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,2,21 bridges,https://trends.google.ca/trends/explore?q=21+bridges&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,3,The mother,https://trends.google.ca/trends/explore?q=the+mother&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,4,The man from toronto,https://trends.google.ca/trends/explore?q=the+man+from+toronto&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,5,The killer 2024,https://trends.google.ca/trends/explore?q=the+killer+2024&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,6,Damsel,https://trends.google.ca/trends/explore?q=damsel&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,7,Hunter killer,https://trends.google.ca/trends/explore?q=hunter+killer&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,8,Rebel ridge,https://trends.google.ca/trends/explore?q=rebel+ridge&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,9,Triple frontier,https://trends.google.ca/trends/explore?q=triple+frontier&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,10,Safe house,https://trends.google.ca/trends/explore?q=safe+house&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Army of Thieves,11,Red notice,https://trends.google.ca/trends/explore?q=red+notice&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Army of Thieves,12,Rebel moon,https://trends.google.ca/trends/explore?q=rebel+moon&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Army of Thieves,13,Matthias schweighöfer movies,https://trends.google.ca/trends/explore?q=matthias+schweigh%C3%B6fer+movies&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Army of Thieves,14,In the shadow of the moon,https://trends.google.ca/trends/explore?q=in+the+shadow+of+the+moon&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Army of Thieves,15,Stuart martin,https://trends.google.ca/trends/explore?q=stuart+martin&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Army of Thieves,16,The killer,https://trends.google.ca/trends/explore?q=the+killer&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Army of Thieves,17,Heart of stone,https://trends.google.ca/trends/explore?q=heart+of+stone&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Army of Thieves,18,Army of thieves reviews,https://trends.google.ca/trends/explore?q=army+of+thieves+reviews&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
