Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Assassin's Creed,1,Assassin's creed black flag remake,https://trends.google.ca/trends/explore?q=assassin's+creed+black+flag+remake&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,2,Assassin's creed shadows cancelled,https://trends.google.ca/trends/explore?q=assassin's+creed+shadows+cancelled&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,3,Best assassin's creed games ranked,https://trends.google.ca/trends/explore?q=best+assassin's+creed+games+ranked&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,4,Assassin's creed commander decks,https://trends.google.ca/trends/explore?q=assassin's+creed+commander+decks&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,5,Sweet baby inc,https://trends.google.ca/trends/explore?q=sweet+baby+inc&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,6,Assassin's creed unity mods,https://trends.google.ca/trends/explore?q=assassin's+creed+unity+mods&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,7,Baldur's gate 3,https://trends.google.ca/trends/explore?q=baldur's+gate+3&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,8,Assassin's creed jacket,https://trends.google.ca/trends/explore?q=assassin's+creed+jacket&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Assassin's Creed,9,Who makes assassin's creed,https://trends.google.ca/trends/explore?q=who+makes+assassin's+creed&date=now+1-d&geo=US,"+4,650%",217,Franchise,2024-10-02
Assassin's Creed,10,List of assassin's creed games,https://trends.google.ca/trends/explore?q=list+of+assassin's+creed+games&date=now+1-d&geo=US,+600%,217,Franchise,2024-10-02
Assassin's Creed,11,New games 2024,https://trends.google.ca/trends/explore?q=new+games+2024&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
Assassin's Creed,12,Which assassin's creed is the best,https://trends.google.ca/trends/explore?q=which+assassin's+creed+is+the+best&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Assassin's Creed,13,Far cry 5,https://trends.google.ca/trends/explore?q=far+cry+5&date=now+1-d&geo=US,+180%,217,Franchise,2024-10-02
Assassin's Creed,14,How many assassin's creed games are there,https://trends.google.ca/trends/explore?q=how+many+assassin's+creed+games+are+there&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Assassin's Creed,15,Call of duty,https://trends.google.ca/trends/explore?q=call+of+duty&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Assassin's Creed,16,Red dead redemption 2,https://trends.google.ca/trends/explore?q=red+dead+redemption+2&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Assassin's Creed,17,Skyrim,https://trends.google.ca/trends/explore?q=skyrim&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Assassin's Creed,18,Assassin's creed valhalla weapons,https://trends.google.ca/trends/explore?q=assassin's+creed+valhalla+weapons&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Assassin's Creed,19,Assassin's creed jade,https://trends.google.ca/trends/explore?q=assassin's+creed+jade&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Assassin's Creed,20,Silent hill 2,https://trends.google.ca/trends/explore?q=silent+hill+2&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Assassin's Creed,21,Assassins creed black flag,https://trends.google.ca/trends/explore?q=assassins+creed+black+flag&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Assassin's Creed,22,Newest assassin's creed game,https://trends.google.ca/trends/explore?q=newest+assassin's+creed+game&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Assassin's Creed,23,Assassin's creed mirage review,https://trends.google.ca/trends/explore?q=assassin's+creed+mirage+review&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Assassin's Creed,24,Assassin's creed shadows gold edition,https://trends.google.ca/trends/explore?q=assassin's+creed+shadows+gold+edition&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Assassin's Creed,25,Skull and bones,https://trends.google.ca/trends/explore?q=skull+and+bones&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
