Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Attack on Titan,1,Neon genesis evangelion,https://trends.google.ca/trends/explore?q=neon+genesis+evangelion&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,2,How many episodes of attack on titan season 3,https://trends.google.ca/trends/explore?q=how+many+episodes+of+attack+on+titan+season+3&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,3,Aniwatch,https://trends.google.ca/trends/explore?q=aniwatch&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,4,Attack on titan revolution wiki,https://trends.google.ca/trends/explore?q=attack+on+titan+revolution+wiki&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,5,How tall are titans in attack on titan,https://trends.google.ca/trends/explore?q=how+tall+are+titans+in+attack+on+titan&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,6,9 anime,https://trends.google.ca/trends/explore?q=9+anime&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Attack on Titan,7,Code geass,https://trends.google.ca/trends/explore?q=code+geass&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Attack on Titan,8,Attack on titan lore,https://trends.google.ca/trends/explore?q=attack+on+titan+lore&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Attack on Titan,9,Attack on titan creator,https://trends.google.ca/trends/explore?q=attack+on+titan+creator&date=now+1-d&geo=US,+190%,217,Franchise,2024-10-02
Attack on Titan,10,Yelena attack on titan,https://trends.google.ca/trends/explore?q=yelena+attack+on+titan&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Attack on Titan,11,Jujutsu kaisen characters,https://trends.google.ca/trends/explore?q=jujutsu+kaisen+characters&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Attack on Titan,12,Full metal alchemists,https://trends.google.ca/trends/explore?q=full+metal+alchemists&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Attack on Titan,13,How many seasons of attack on titan,https://trends.google.ca/trends/explore?q=how+many+seasons+of+attack+on+titan&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Attack on Titan,14,Roblox attack on titan revolution codes,https://trends.google.ca/trends/explore?q=roblox+attack+on+titan+revolution+codes&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Attack on Titan,15,Is attack on titan on netflix,https://trends.google.ca/trends/explore?q=is+attack+on+titan+on+netflix&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Attack on Titan,16,Attack on titan rating,https://trends.google.ca/trends/explore?q=attack+on+titan+rating&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Attack on Titan,17,Attack on titan 2 game,https://trends.google.ca/trends/explore?q=attack+on+titan+2+game&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Attack on Titan,18,Aot movie,https://trends.google.ca/trends/explore?q=aot+movie&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Attack on Titan,19,Attack on titan city,https://trends.google.ca/trends/explore?q=attack+on+titan+city&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Attack on Titan,20,Attack on titan in theaters,https://trends.google.ca/trends/explore?q=attack+on+titan+in+theaters&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Attack on Titan,21,Attack on titan live action,https://trends.google.ca/trends/explore?q=attack+on+titan+live+action&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Attack on Titan,22,How long is attack on titan,https://trends.google.ca/trends/explore?q=how+long+is+attack+on+titan&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Attack on Titan,23,Attack on titan wine,https://trends.google.ca/trends/explore?q=attack+on+titan+wine&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
