Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Avatar: The Last Airbender,1,Avatar the last airbender toys,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+toys&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Avatar: The Last Airbender,2,Avatar the last airbender timeline,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+timeline&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Avatar: The Last Airbender,3,Danny phantom,https://trends.google.ca/trends/explore?q=danny+phantom&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Avatar: The Last Airbender,4,Bryan konietzko,https://trends.google.ca/trends/explore?q=bryan+konietzko&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Avatar: The Last Airbender,5,Atla,https://trends.google.ca/trends/explore?q=atla&date=now+1-d&geo=US,+130%,216,TV Show,2024-10-02
Avatar: The Last Airbender,6,Avatar the last airbender suki,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+suki&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Avatar: The Last Airbender,7,Avatar the last airbender orchestra,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+orchestra&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Avatar: The Last Airbender,8,Suki avatar,https://trends.google.ca/trends/explore?q=suki+avatar&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Avatar: The Last Airbender,9,Avatar the last airbender wallpaper,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+wallpaper&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Avatar: The Last Airbender,10,Avatar the last airbender tattoo,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+tattoo&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Avatar: The Last Airbender,11,Zuko,https://trends.google.ca/trends/explore?q=zuko&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Avatar: The Last Airbender,12,Avatar the last airbender intro,https://trends.google.ca/trends/explore?q=avatar+the+last+airbender+intro&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Avatar: The Last Airbender,13,Zuko avatar,https://trends.google.ca/trends/explore?q=zuko+avatar&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
