Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Bad Boys for Life,1,Eric dane,https://trends.google.ca/trends/explore?q=eric+dane&date=now+7-d&geo=US,+600%,154,Movie,2024-10-03
Bad Boys for Life,2,Bad boys for life on netflix,https://trends.google.ca/trends/explore?q=bad+boys+for+life+on+netflix&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
Bad Boys for Life,3,Charles melton,https://trends.google.ca/trends/explore?q=charles+melton&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Bad Boys for Life,4,Movies like bad boys for life,https://trends.google.ca/trends/explore?q=movies+like+bad+boys+for+life&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Bad Boys for Life,5,Bad boy movies,https://trends.google.ca/trends/explore?q=bad+boy+movies&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Bad Boys for Life,6,When did bad boys for life come out,https://trends.google.ca/trends/explore?q=when+did+bad+boys+for+life+come+out&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Bad Boys for Life,7,How many bad boys movies are there,https://trends.google.ca/trends/explore?q=how+many+bad+boys+movies+are+there&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Bad Boys for Life,8,Is bad boys for life on netflix,https://trends.google.ca/trends/explore?q=is+bad+boys+for+life+on+netflix&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Bad Boys for Life,9,Puff daddy,https://trends.google.ca/trends/explore?q=puff+daddy&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Bad Boys for Life,10,Bad boys for life lyrics,https://trends.google.ca/trends/explore?q=bad+boys+for+life+lyrics&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Bad Boys for Life,11,Bad boys for life review,https://trends.google.ca/trends/explore?q=bad+boys+for+life+review&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Bad Boys for Life,12,Bad boys for life netflix,https://trends.google.ca/trends/explore?q=bad+boys+for+life+netflix&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Bad Boys for Life,13,Bad boys for life 2020,https://trends.google.ca/trends/explore?q=bad+boys+for+life+2020&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Bad Boys for Life,14,Bad boy cast 3,https://trends.google.ca/trends/explore?q=bad+boy+cast+3&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Bad Boys for Life,15,Bad boys series,https://trends.google.ca/trends/explore?q=bad+boys+series&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Bad Boys for Life,16,Bad boys movies in order,https://trends.google.ca/trends/explore?q=bad+boys+movies+in+order&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Bad Boys for Life,17,Bad boys for life trailer,https://trends.google.ca/trends/explore?q=bad+boys+for+life+trailer&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Bad Boys for Life,18,Bad boys for life gif,https://trends.google.ca/trends/explore?q=bad+boys+for+life+gif&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,19,Soap2day,https://trends.google.ca/trends/explore?q=soap2day&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,20,Where to watch bad boys ride or die,https://trends.google.ca/trends/explore?q=where+to+watch+bad+boys+ride+or+die&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,21,Bad boys for life song lyrics,https://trends.google.ca/trends/explore?q=bad+boys+for+life+song+lyrics&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,22,Bad boys for life streaming,https://trends.google.ca/trends/explore?q=bad+boys+for+life+streaming&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,23,New bad boys movie,https://trends.google.ca/trends/explore?q=new+bad+boys+movie&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,24,Watch bad boys 3,https://trends.google.ca/trends/explore?q=watch+bad+boys+3&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Bad Boys for Life,25,Bad boys for life imdb,https://trends.google.ca/trends/explore?q=bad+boys+for+life+imdb&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
