Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Band of Brothers,1,Sgt grant band of brothers,https://trends.google.ca/trends/explore?q=sgt+grant+band+of+brothers&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-03
Band of Brothers,2,Douglas henshall,https://trends.google.ca/trends/explore?q=douglas+henshall&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Band of Brothers,3,Sergeant grant band of brothers,https://trends.google.ca/trends/explore?q=sergeant+grant+band+of+brothers&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Band of Brothers,4,Lucie jeanne,https://trends.google.ca/trends/explore?q=lucie+jeanne&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Band of Brothers,5,Band of brothers webster actor,https://trends.google.ca/trends/explore?q=band+of+brothers+webster+actor&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Band of Brothers,6,Lt peacock band of brothers,https://trends.google.ca/trends/explore?q=lt+peacock+band+of+brothers&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Band of Brothers,7,Mindhunter,https://trends.google.ca/trends/explore?q=mindhunter&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Band of Brothers,8,The sopranos,https://trends.google.ca/trends/explore?q=the+sopranos&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Band of Brothers,9,Band of brothers points,https://trends.google.ca/trends/explore?q=band+of+brothers+points&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Band of Brothers,10,Band of brothers episode 7,https://trends.google.ca/trends/explore?q=band+of+brothers+episode+7&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Band of Brothers,11,Lt jones band of brothers,https://trends.google.ca/trends/explore?q=lt+jones+band+of+brothers&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Band of Brothers,12,Colin hanks band of brothers,https://trends.google.ca/trends/explore?q=colin+hanks+band+of+brothers&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Band of Brothers,13,David webster band of brothers,https://trends.google.ca/trends/explore?q=david+webster+band+of+brothers&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,14,How many episodes of band of brothers,https://trends.google.ca/trends/explore?q=how+many+episodes+of+band+of+brothers&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,15,Band of brothers real people,https://trends.google.ca/trends/explore?q=band+of+brothers+real+people&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,16,Band of brothers how many episodes,https://trends.google.ca/trends/explore?q=band+of+brothers+how+many+episodes&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,17,Carwood lipton,https://trends.google.ca/trends/explore?q=carwood+lipton&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,18,Floyd craver,https://trends.google.ca/trends/explore?q=floyd+craver&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Band of Brothers,19,Lt dike band of brothers,https://trends.google.ca/trends/explore?q=lt+dike+band+of+brothers&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,20,Normal people,https://trends.google.ca/trends/explore?q=normal+people&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,21,Band of brothers grant,https://trends.google.ca/trends/explore?q=band+of+brothers+grant&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,22,Peaky blinders,https://trends.google.ca/trends/explore?q=peaky+blinders&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,23,Jimmy fallon in band of brothers,https://trends.google.ca/trends/explore?q=jimmy+fallon+in+band+of+brothers&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,24,Colin hanks,https://trends.google.ca/trends/explore?q=colin+hanks&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Band of Brothers,25,We happy few we band of brothers,https://trends.google.ca/trends/explore?q=we+happy+few+we+band+of+brothers&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
