Line Number,Label Text,Link,Rising Value
1,Victor aguilar,https://trends.google.ca/trends/explore?q=victor+aguilar&date=now+7-d&geo=CA,Breakout
2,Victor aguilar batman,https://trends.google.ca/trends/explore?q=victor+aguilar+batman&date=now+7-d&geo=CA,Breakout
3,Barbie x batman,https://trends.google.ca/trends/explore?q=barbie+x+batman&date=now+7-d&geo=CA,Breakout
4,Batman hollywood walk of fame,https://trends.google.ca/trends/explore?q=batman+hollywood+walk+of+fame&date=now+7-d&geo=CA,Breakout
5,Carmine falcone,https://trends.google.ca/trends/explore?q=carmine+falcone&date=now+7-d&geo=CA,+700%
6,Batman the hangman,https://trends.google.ca/trends/explore?q=batman+the+hangman&date=now+7-d&geo=CA,+650%
7,Batman barbie,https://trends.google.ca/trends/explore?q=batman+barbie&date=now+7-d&geo=CA,+450%
8,Sofia falcone,https://trends.google.ca/trends/explore?q=sofia+falcone&date=now+7-d&geo=CA,+450%
9,Emma lockhart,https://trends.google.ca/trends/explore?q=emma+lockhart&date=now+7-d&geo=CA,+350%
10,Penguin tv show,https://trends.google.ca/trends/explore?q=penguin+tv+show&date=now+7-d&geo=CA,+200%
11,Falcone batman,https://trends.google.ca/trends/explore?q=falcone+batman&date=now+7-d&geo=CA,+200%
12,The penguin episodes,https://trends.google.ca/trends/explore?q=the+penguin+episodes&date=now+7-d&geo=CA,+150%
13,Batman dead end,https://trends.google.ca/trends/explore?q=batman+dead+end&date=now+7-d&geo=CA,+140%
14,Penguin show,https://trends.google.ca/trends/explore?q=penguin+show&date=now+7-d&geo=CA,+140%
15,Is batman in the penguin,https://trends.google.ca/trends/explore?q=is+batman+in+the+penguin&date=now+7-d&geo=CA,+140%
11,Falcone batman,https://trends.google.ca/trends/explore?q=falcone+batman&date=now+7-d&geo=CA,+200%
12,The penguin episodes,https://trends.google.ca/trends/explore?q=the+penguin+episodes&date=now+7-d&geo=CA,+150%
13,Batman dead end,https://trends.google.ca/trends/explore?q=batman+dead+end&date=now+7-d&geo=CA,+140%
14,Penguin show,https://trends.google.ca/trends/explore?q=penguin+show&date=now+7-d&geo=CA,+140%
15,Is batman in the penguin,https://trends.google.ca/trends/explore?q=is+batman+in+the+penguin&date=now+7-d&geo=CA,+140%
11,Falcone batman,https://trends.google.ca/trends/explore?q=falcone+batman&date=now+7-d&geo=CA,+200%
12,The penguin episodes,https://trends.google.ca/trends/explore?q=the+penguin+episodes&date=now+7-d&geo=CA,+150%
13,Batman dead end,https://trends.google.ca/trends/explore?q=batman+dead+end&date=now+7-d&geo=CA,+140%
14,Penguin show,https://trends.google.ca/trends/explore?q=penguin+show&date=now+7-d&geo=CA,+140%
15,Is batman in the penguin,https://trends.google.ca/trends/explore?q=is+batman+in+the+penguin&date=now+7-d&geo=CA,+140%
