Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Beetlejuice Beetlejuice,1,Where does beetlejuice take place,https://trends.google.ca/trends/explore?q=where+does+beetlejuice+take+place&date=now+1-d&geo=US,+180%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,2,Why is beetlejuice spelled differently in the movie,https://trends.google.ca/trends/explore?q=why+is+beetlejuice+spelled+differently+in+the+movie&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,3,How old was winona ryder in beetlejuice,https://trends.google.ca/trends/explore?q=how+old+was+winona+ryder+in+beetlejuice&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,4,Glenn shadix,https://trends.google.ca/trends/explore?q=glenn+shadix&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,5,Winona ryder movies and tv shows,https://trends.google.ca/trends/explore?q=winona+ryder+movies+and+tv+shows&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,6,Hocus pocus,https://trends.google.ca/trends/explore?q=hocus+pocus&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,7,Dad from beetlejuice,https://trends.google.ca/trends/explore?q=dad+from+beetlejuice&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,8,Arthur conti,https://trends.google.ca/trends/explore?q=arthur+conti&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,9,How did beetlejuice die,https://trends.google.ca/trends/explore?q=how+did+beetlejuice+die&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,10,Beetlejuice after credits,https://trends.google.ca/trends/explore?q=beetlejuice+after+credits&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,11,Beetlejuice door decorations,https://trends.google.ca/trends/explore?q=beetlejuice+door+decorations&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,12,Beetlejuice 2 digital release date,https://trends.google.ca/trends/explore?q=beetlejuice+2+digital+release+date&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,13,Beetlejuice cast 1988,https://trends.google.ca/trends/explore?q=beetlejuice+cast+1988&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,14,The nightmare before christmas,https://trends.google.ca/trends/explore?q=the+nightmare+before+christmas&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,15,Alec baldwin beetlejuice,https://trends.google.ca/trends/explore?q=alec+baldwin+beetlejuice&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,16,Alec baldwin,https://trends.google.ca/trends/explore?q=alec+baldwin&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,17,Winona ryder,https://trends.google.ca/trends/explore?q=winona+ryder&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,18,Winona ryder beetlejuice,https://trends.google.ca/trends/explore?q=winona+ryder+beetlejuice&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,19,Catherine o'hara,https://trends.google.ca/trends/explore?q=catherine+o'hara&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,20,Geena davis,https://trends.google.ca/trends/explore?q=geena+davis&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,21,Nightmare before christmas,https://trends.google.ca/trends/explore?q=nightmare+before+christmas&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,22,Addams family,https://trends.google.ca/trends/explore?q=addams+family&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
Beetlejuice Beetlejuice,23,Michael keaton movies,https://trends.google.ca/trends/explore?q=michael+keaton+movies&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
