Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Below Deck Down Under,1,Below deck med season 8,https://trends.google.ca/trends/explore?q=below+deck+med+season+8&date=now+7-d&geo=US,+900%,216,TV Show,2024-10-03
Below Deck Down Under,2,Kate chastain,https://trends.google.ca/trends/explore?q=kate+chastain&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Below Deck Down Under,3,Jamie from below deck down under,https://trends.google.ca/trends/explore?q=jamie+from+below+deck+down+under&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Below Deck Down Under,4,Below deck new season 2024,https://trends.google.ca/trends/explore?q=below+deck+new+season+2024&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Below Deck Down Under,5,New season of below deck down under,https://trends.google.ca/trends/explore?q=new+season+of+below+deck+down+under&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Below Deck Down Under,6,When does below deck down under start,https://trends.google.ca/trends/explore?q=when+does+below+deck+down+under+start&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Below Deck Down Under,7,Where to watch below deck down under,https://trends.google.ca/trends/explore?q=where+to+watch+below+deck+down+under&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Below Deck Down Under,8,Who gets fired on below deck down under season 1,https://trends.google.ca/trends/explore?q=who+gets+fired+on+below+deck+down+under+season+1&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Below Deck Down Under,9,Benny below deck down under,https://trends.google.ca/trends/explore?q=benny+below+deck+down+under&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Below Deck Down Under,10,Below deck med reunion,https://trends.google.ca/trends/explore?q=below+deck+med+reunion&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Below Deck Down Under,11,Below deck season 11,https://trends.google.ca/trends/explore?q=below+deck+season+11&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Below Deck Down Under,12,Below deck down under new season,https://trends.google.ca/trends/explore?q=below+deck+down+under+new+season&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Below Deck Down Under,13,New season below deck,https://trends.google.ca/trends/explore?q=new+season+below+deck&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Below Deck Down Under,14,Next season of below deck,https://trends.google.ca/trends/explore?q=next+season+of+below+deck&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
