Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Berserk,1,Weebmd,https://trends.google.ca/trends/explore?q=weebmd&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Berserk,2,Abstain,https://trends.google.ca/trends/explore?q=abstain&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Berserk,3,Uzumaki,https://trends.google.ca/trends/explore?q=uzumaki&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Berserk,4,Mozgus berserk,https://trends.google.ca/trends/explore?q=mozgus+berserk&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Berserk,5,Wyald berserk,https://trends.google.ca/trends/explore?q=wyald+berserk&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Berserk,6,Berserk wyald,https://trends.google.ca/trends/explore?q=berserk+wyald&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Berserk,7,Myne berserk of gluttony,https://trends.google.ca/trends/explore?q=myne+berserk+of+gluttony&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Berserk,8,Schierke berserk,https://trends.google.ca/trends/explore?q=schierke+berserk&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Berserk,9,Berserk chapter 83,https://trends.google.ca/trends/explore?q=berserk+chapter+83&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Berserk,10,Berserk full collection,https://trends.google.ca/trends/explore?q=berserk+full+collection&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Berserk,11,Berserk manga full collection,https://trends.google.ca/trends/explore?q=berserk+manga+full+collection&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Berserk,12,Has berserk ended,https://trends.google.ca/trends/explore?q=has+berserk+ended&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Berserk,13,Berserk of gluttony characters,https://trends.google.ca/trends/explore?q=berserk+of+gluttony+characters&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,14,Junji ito,https://trends.google.ca/trends/explore?q=junji+ito&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,15,Does berserk have an ending,https://trends.google.ca/trends/explore?q=does+berserk+have+an+ending&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,16,Is berserk finished,https://trends.google.ca/trends/explore?q=is+berserk+finished&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,17,Mangadex,https://trends.google.ca/trends/explore?q=mangadex&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,18,Is berserk manga finished,https://trends.google.ca/trends/explore?q=is+berserk+manga+finished&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Berserk,19,Berserk series,https://trends.google.ca/trends/explore?q=berserk+series&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
Berserk,20,Berserk manga pdf,https://trends.google.ca/trends/explore?q=berserk+manga+pdf&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
