Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Beverly Hills 90210,1,Beverly hills 90210 intro,https://trends.google.ca/trends/explore?q=beverly+hills+90210+intro&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Beverly Hills 90210,2,Carol potter,https://trends.google.ca/trends/explore?q=carol+potter&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Beverly Hills 90210,3,Beverly hills 90210 season 2 episode 18,https://trends.google.ca/trends/explore?q=beverly+hills+90210+season+2+episode+18&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Beverly Hills 90210,4,Beverly hills 90210 theme song,https://trends.google.ca/trends/explore?q=beverly+hills+90210+theme+song&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Beverly Hills 90210,5,Beverly hills 90210 peach pit,https://trends.google.ca/trends/explore?q=beverly+hills+90210+peach+pit&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Beverly Hills 90210,6,One tree hill,https://trends.google.ca/trends/explore?q=one+tree+hill&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Beverly Hills 90210,7,Beverly hills cop,https://trends.google.ca/trends/explore?q=beverly+hills+cop&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Beverly Hills 90210,8,Degrassi,https://trends.google.ca/trends/explore?q=degrassi&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Beverly Hills 90210,9,Dean mcdermott,https://trends.google.ca/trends/explore?q=dean+mcdermott&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Beverly Hills 90210,10,"Beverly hills, 90210 season 10","https://trends.google.ca/trends/explore?q=beverly+hills,+90210+season+10&date=now+7-d&geo=US",+180%,216,TV Show,2024-10-03
Beverly Hills 90210,11,Vampire diaries,https://trends.google.ca/trends/explore?q=vampire+diaries&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Beverly Hills 90210,12,7th heaven,https://trends.google.ca/trends/explore?q=7th+heaven&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Beverly Hills 90210,13,Beverly hills cop 4 cast,https://trends.google.ca/trends/explore?q=beverly+hills+cop+4+cast&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Beverly Hills 90210,14,Beverly hills 90210 season 2 episode 8,https://trends.google.ca/trends/explore?q=beverly+hills+90210+season+2+episode+8&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Beverly Hills 90210,15,The beverly hills hotel,https://trends.google.ca/trends/explore?q=the+beverly+hills+hotel&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Beverly Hills 90210,16,Beverly hills 90210 season 3,https://trends.google.ca/trends/explore?q=beverly+hills+90210+season+3&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Beverly Hills 90210,17,Melrose place,https://trends.google.ca/trends/explore?q=melrose+place&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Beverly Hills 90210,18,Beverly hills 90210 where to watch,https://trends.google.ca/trends/explore?q=beverly+hills+90210+where+to+watch&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
