Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Beverly Hills Cop: Axel F,1,John ashton,https://trends.google.ca/trends/explore?q=john+ashton&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,2,Beverly hills cop axel f trailer,https://trends.google.ca/trends/explore?q=beverly+hills+cop+axel+f+trailer&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,3,Beverly hills cop 4 release date,https://trends.google.ca/trends/explore?q=beverly+hills+cop+4+release+date&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,4,Nasim pedrad,https://trends.google.ca/trends/explore?q=nasim+pedrad&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,5,Ronny cox,https://trends.google.ca/trends/explore?q=ronny+cox&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,6,Eddie murphy children,https://trends.google.ca/trends/explore?q=eddie+murphy+children&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,7,John ashton beverly hills cop,https://trends.google.ca/trends/explore?q=john+ashton+beverly+hills+cop&date=now+7-d&geo=US,"+1,200%",154,Movie,2024-10-03
Beverly Hills Cop: Axel F,8,Axel foley,https://trends.google.ca/trends/explore?q=axel+foley&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,9,Beverly hills cop 2 cast,https://trends.google.ca/trends/explore?q=beverly+hills+cop+2+cast&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Beverly Hills Cop: Axel F,10,Taylour paige,https://trends.google.ca/trends/explore?q=taylour+paige&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
