Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Big Brother,1,Niecy nash,https://trends.google.ca/trends/explore?q=niecy+nash&date=now+7-d&geo=US,+800%,216,TV Show,2024-10-03
Big Brother,2,Why isn't big brother on tonight,https://trends.google.ca/trends/explore?q=why+isn't+big+brother+on+tonight&date=now+7-d&geo=US,+700%,216,TV Show,2024-10-03
Big Brother,3,Why no big brother tonight,https://trends.google.ca/trends/explore?q=why+no+big+brother+tonight&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
Big Brother,4,No big brother tonight,https://trends.google.ca/trends/explore?q=no+big+brother+tonight&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Big Brother,5,The summit,https://trends.google.ca/trends/explore?q=the+summit&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Big Brother,6,Why is big brother not on tonight,https://trends.google.ca/trends/explore?q=why+is+big+brother+not+on+tonight&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Big Brother,7,Big brother next episode,https://trends.google.ca/trends/explore?q=big+brother+next+episode&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Big Brother,8,Who got evicted on big brother tonight,https://trends.google.ca/trends/explore?q=who+got+evicted+on+big+brother+tonight&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Big Brother,9,Who was evicted from big brother last night,https://trends.google.ca/trends/explore?q=who+was+evicted+from+big+brother+last+night&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Big Brother,10,Did big brother come on tonight,https://trends.google.ca/trends/explore?q=did+big+brother+come+on+tonight&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Big Brother,11,When is big brother on this week,https://trends.google.ca/trends/explore?q=when+is+big+brother+on+this+week&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Big Brother,12,Chelsea big brother,https://trends.google.ca/trends/explore?q=chelsea+big+brother&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Big Brother,13,Big brother comics,https://trends.google.ca/trends/explore?q=big+brother+comics&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Big Brother,14,Chelsie big brother,https://trends.google.ca/trends/explore?q=chelsie+big+brother&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Big Brother,15,Who was evicted from big brother tonight,https://trends.google.ca/trends/explore?q=who+was+evicted+from+big+brother+tonight&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Big Brother,16,Big brother jury house,https://trends.google.ca/trends/explore?q=big+brother+jury+house&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Big Brother,17,Who got evicted on big brother,https://trends.google.ca/trends/explore?q=who+got+evicted+on+big+brother&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Big Brother,18,Angela from big brother,https://trends.google.ca/trends/explore?q=angela+from+big+brother&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Big Brother,19,Who is left on big brother,https://trends.google.ca/trends/explore?q=who+is+left+on+big+brother&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Big Brother,20,Big brother double eviction,https://trends.google.ca/trends/explore?q=big+brother+double+eviction&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Big Brother,21,Big brother angela,https://trends.google.ca/trends/explore?q=big+brother+angela&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Big Brother,22,Big brother finale 2024,https://trends.google.ca/trends/explore?q=big+brother+finale+2024&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Big Brother,23,What happened on big brother last night,https://trends.google.ca/trends/explore?q=what+happened+on+big+brother+last+night&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Big Brother,24,Chelsie baham,https://trends.google.ca/trends/explore?q=chelsie+baham&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Big Brother,25,Who was evicted from big brother,https://trends.google.ca/trends/explore?q=who+was+evicted+from+big+brother&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
