Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Black Lightning,1,Black lightning director,https://trends.google.ca/trends/explore?q=black+lightning+director&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Lightning,2,Director of black lightning,https://trends.google.ca/trends/explore?q=director+of+black+lightning&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Lightning,3,2 is to 55 as 6 is to,https://trends.google.ca/trends/explore?q=2+is+to+55+as+6+is+to&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Lightning,4,Jill scott,https://trends.google.ca/trends/explore?q=jill+scott&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Lightning,5,Live lightning crashes,https://trends.google.ca/trends/explore?q=live+lightning+crashes&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Lightning,6,Keith powers,https://trends.google.ca/trends/explore?q=keith+powers&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Black Lightning,7,Gravedigger black lightning,https://trends.google.ca/trends/explore?q=gravedigger+black+lightning&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Black Lightning,8,Cannondale black lightning,https://trends.google.ca/trends/explore?q=cannondale+black+lightning&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Black Lightning,9,Black lightning tobias's revenge,https://trends.google.ca/trends/explore?q=black+lightning+tobias's+revenge&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Black Lightning,10,Ford lightning platinum black,https://trends.google.ca/trends/explore?q=ford+lightning+platinum+black&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Black Lightning,11,Lightning bolt cologne,https://trends.google.ca/trends/explore?q=lightning+bolt+cologne&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
Black Lightning,12,Black hole,https://trends.google.ca/trends/explore?q=black+hole&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Black Lightning,13,Raising dion,https://trends.google.ca/trends/explore?q=raising+dion&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
