Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Black Mirror,1,Aldis hodge black mirror,https://trends.google.ca/trends/explore?q=aldis+hodge+black+mirror&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Black Mirror,2,Black mirror pig scene,https://trends.google.ca/trends/explore?q=black+mirror+pig+scene&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Black Mirror,3,Maxace black mirror,https://trends.google.ca/trends/explore?q=maxace+black+mirror&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Black Mirror,4,Black mirror be right back cast,https://trends.google.ca/trends/explore?q=black+mirror+be+right+back+cast&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Black Mirror,5,Get out,https://trends.google.ca/trends/explore?q=get+out&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Black Mirror,6,Black mirror robot dog,https://trends.google.ca/trends/explore?q=black+mirror+robot+dog&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Black Mirror,7,Black mirror prime minister,https://trends.google.ca/trends/explore?q=black+mirror+prime+minister&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Black Mirror,8,Black mirror astronaut episode,https://trends.google.ca/trends/explore?q=black+mirror+astronaut+episode&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Black Mirror,9,Black mirror choose your own adventure,https://trends.google.ca/trends/explore?q=black+mirror+choose+your+own+adventure&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Black Mirror,10,Black mirror nose dive,https://trends.google.ca/trends/explore?q=black+mirror+nose+dive&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Black Mirror,11,Black mirror pig,https://trends.google.ca/trends/explore?q=black+mirror+pig&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Black Mirror,12,Black mirror pig episode,https://trends.google.ca/trends/explore?q=black+mirror+pig+episode&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Black Mirror,13,Good black mirror episodes,https://trends.google.ca/trends/explore?q=good+black+mirror+episodes&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Black Mirror,14,The national anthem black mirror,https://trends.google.ca/trends/explore?q=the+national+anthem+black+mirror&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Black Mirror,15,Black mirror shut up and dance explained,https://trends.google.ca/trends/explore?q=black+mirror+shut+up+and+dance+explained&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Black Mirror,16,Best episode of black mirror,https://trends.google.ca/trends/explore?q=best+episode+of+black+mirror&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Black Mirror,17,Nosedive,https://trends.google.ca/trends/explore?q=nosedive&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,18,West elm,https://trends.google.ca/trends/explore?q=west+elm&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,19,Nosedive black mirror,https://trends.google.ca/trends/explore?q=nosedive+black+mirror&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,20,Domhnall gleeson black mirror,https://trends.google.ca/trends/explore?q=domhnall+gleeson+black+mirror&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,21,Shows like black mirror,https://trends.google.ca/trends/explore?q=shows+like+black+mirror&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,22,Black oval mirror,https://trends.google.ca/trends/explore?q=black+oval+mirror&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,23,Jon hamm black mirror,https://trends.google.ca/trends/explore?q=jon+hamm+black+mirror&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,24,Black mirror rating episode,https://trends.google.ca/trends/explore?q=black+mirror+rating+episode&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Black Mirror,25,'',https://trends.google.ca/trends/explore?q=''&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
