Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Black Panther,1,Everything everywhere all at once,https://trends.google.ca/trends/explore?q=everything+everywhere+all+at+once&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Black Panther,2,Letitia wright quits acting,https://trends.google.ca/trends/explore?q=letitia+wright+quits+acting&date=now+7-d&geo=US,+700%,154,Movie,2024-10-01
 Black Panther,3,Sinners movie,https://trends.google.ca/trends/explore?q=sinners+movie&date=now+7-d&geo=US,+600%,154,Movie,2024-10-01
 Black Panther,4,Black panther recast,https://trends.google.ca/trends/explore?q=black+panther+recast&date=now+7-d&geo=US,+450%,154,Movie,2024-10-01
 Black Panther,5,Shaunette renée wilson black panther,https://trends.google.ca/trends/explore?q=shaunette+ren%C3%A9e+wilson+black+panther&date=now+7-d&geo=US,+160%,154,Movie,2024-10-01
 Black Panther,6,Black panther soundtrack tracklist,https://trends.google.ca/trends/explore?q=black+panther+soundtrack+tracklist&date=now+7-d&geo=US,+90%,154,Movie,2024-10-01
 Black Panther,7,Black panther actor death,https://trends.google.ca/trends/explore?q=black+panther+actor+death&date=now+7-d&geo=US,+80%,154,Movie,2024-10-01
 Black Panther,8,Lupita movies,https://trends.google.ca/trends/explore?q=lupita+movies&date=now+7-d&geo=US,+80%,154,Movie,2024-10-01
 Black Panther,9,Black panther coloring pages,https://trends.google.ca/trends/explore?q=black+panther+coloring+pages&date=now+7-d&geo=US,+70%,154,Movie,2024-10-01
 Black Panther,10,What do black panthers eat,https://trends.google.ca/trends/explore?q=what+do+black+panthers+eat&date=now+7-d&geo=US,+70%,154,Movie,2024-10-01
 Black Panther,11,Ta nehisi coates,https://trends.google.ca/trends/explore?q=ta+nehisi+coates&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
 Black Panther,12,Black panther actress,https://trends.google.ca/trends/explore?q=black+panther+actress&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
 Black Panther,13,Letitia wright,https://trends.google.ca/trends/explore?q=letitia+wright&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
 Black Panther,14,Danai gurira,https://trends.google.ca/trends/explore?q=danai+gurira&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
 Black Panther,15,Black panther nakia,https://trends.google.ca/trends/explore?q=black+panther+nakia&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
 Black Panther,16,Zuri black panther,https://trends.google.ca/trends/explore?q=zuri+black+panther&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
 Black Panther,17,Black panther party logo,https://trends.google.ca/trends/explore?q=black+panther+party+logo&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
 Black Panther,18,Erik killmonger,https://trends.google.ca/trends/explore?q=erik+killmonger&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
 Black Panther,19,Black panther coloring page,https://trends.google.ca/trends/explore?q=black+panther+coloring+page&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
 Black Panther,20,Michael b jordan black panther,https://trends.google.ca/trends/explore?q=michael+b+jordan+black+panther&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
 Black Panther,21,New black panther movie,https://trends.google.ca/trends/explore?q=new+black+panther+movie&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
