Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Blade Runner,1,Ryan gosling blade runner gif,https://trends.google.ca/trends/explore?q=ryan+gosling+blade+runner+gif&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blade Runner,2,Ballerina,https://trends.google.ca/trends/explore?q=ballerina&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Blade Runner,3,Top gun,https://trends.google.ca/trends/explore?q=top+gun&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Blade Runner,4,Ridley scott movies,https://trends.google.ca/trends/explore?q=ridley+scott+movies&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Blade Runner,5,Lost in translation,https://trends.google.ca/trends/explore?q=lost+in+translation&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Blade Runner,6,The shining,https://trends.google.ca/trends/explore?q=the+shining&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Blade Runner,7,Mad max fury road,https://trends.google.ca/trends/explore?q=mad+max+fury+road&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Blade Runner,8,The place beyond the pines,https://trends.google.ca/trends/explore?q=the+place+beyond+the+pines&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Blade Runner,9,Blade runner south africa,https://trends.google.ca/trends/explore?q=blade+runner+south+africa&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Blade Runner,10,Dave bautista,https://trends.google.ca/trends/explore?q=dave+bautista&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Blade Runner,11,Pulp fiction,https://trends.google.ca/trends/explore?q=pulp+fiction&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Blade Runner,12,123 movies,https://trends.google.ca/trends/explore?q=123+movies&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Blade Runner,13,Where is blade runner streaming,https://trends.google.ca/trends/explore?q=where+is+blade+runner+streaming&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Blade Runner,14,Ex machina,https://trends.google.ca/trends/explore?q=ex+machina&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Blade Runner,15,Pacific rim,https://trends.google.ca/trends/explore?q=pacific+rim&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Blade Runner,16,Ana de armas all movies list,https://trends.google.ca/trends/explore?q=ana+de+armas+all+movies+list&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Blade Runner,17,Dave bautista blade runner,https://trends.google.ca/trends/explore?q=dave+bautista+blade+runner&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Blade Runner,18,Shutter island,https://trends.google.ca/trends/explore?q=shutter+island&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Blade Runner,19,Blade runner black out 2022,https://trends.google.ca/trends/explore?q=blade+runner+black+out+2022&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Blade Runner,20,Ana de armas movies,https://trends.google.ca/trends/explore?q=ana+de+armas+movies&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Blade Runner,21,Ready player one,https://trends.google.ca/trends/explore?q=ready+player+one&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Blade Runner,22,Akira,https://trends.google.ca/trends/explore?q=akira&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Blade Runner,23,Blade runner 2049 jacket,https://trends.google.ca/trends/explore?q=blade+runner+2049+jacket&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Blade Runner,24,Ana de armas blade runner,https://trends.google.ca/trends/explore?q=ana+de+armas+blade+runner&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Blade Runner,25,Blade runner movie poster,https://trends.google.ca/trends/explore?q=blade+runner+movie+poster&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
