Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Blue Beetle,1,Madame web,https://trends.google.ca/trends/explore?q=madame+web&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,2,Is there going to be a blue beetle 2,https://trends.google.ca/trends/explore?q=is+there+going+to+be+a+blue+beetle+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,3,Blue beetle abilities,https://trends.google.ca/trends/explore?q=blue+beetle+abilities&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,4,Nova marvel,https://trends.google.ca/trends/explore?q=nova+marvel&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,5,Blue beetle coloring pages,https://trends.google.ca/trends/explore?q=blue+beetle+coloring+pages&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,6,Becky g movies and tv shows,https://trends.google.ca/trends/explore?q=becky+g+movies+and+tv+shows&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,7,Tomb raider,https://trends.google.ca/trends/explore?q=tomb+raider&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Blue Beetle,8,Joker 2,https://trends.google.ca/trends/explore?q=joker+2&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Blue Beetle,9,Blue beetle popcorn bucket,https://trends.google.ca/trends/explore?q=blue+beetle+popcorn+bucket&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Blue Beetle,10,Types of beetles,https://trends.google.ca/trends/explore?q=types+of+beetles&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Blue Beetle,11,Mini cooper,https://trends.google.ca/trends/explore?q=mini+cooper&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Blue Beetle,12,Kelley blue book value,https://trends.google.ca/trends/explore?q=kelley+blue+book+value&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Blue Beetle,13,Blue beetle buster sword,https://trends.google.ca/trends/explore?q=blue+beetle+buster+sword&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Blue Beetle,14,Blue beetle wallpaper,https://trends.google.ca/trends/explore?q=blue+beetle+wallpaper&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Blue Beetle,15,The marvels,https://trends.google.ca/trends/explore?q=the+marvels&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Blue Beetle,16,Mcfarlane blue beetle,https://trends.google.ca/trends/explore?q=mcfarlane+blue+beetle&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Blue Beetle,17,Damian wayne,https://trends.google.ca/trends/explore?q=damian+wayne&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Blue Beetle,18,Blue beetle reparto,https://trends.google.ca/trends/explore?q=blue+beetle+reparto&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
