Line Number,Label Text,Link,Rising Value
1,Bmw k1600b,https://trends.google.ca/trends/explore?q=bmw+k1600b&date=now+1-d&geo=CA,Breakout
2,Bmw m9,https://trends.google.ca/trends/explore?q=bmw+m9&date=now+1-d&geo=CA,+500%
3,Bmw i8 price,https://trends.google.ca/trends/explore?q=bmw+i8+price&date=now+1-d&geo=CA,+300%
4,Bmw m5 touring,https://trends.google.ca/trends/explore?q=bmw+m5+touring&date=now+1-d&geo=CA,+200%
5,Budds bmw hamilton,https://trends.google.ca/trends/explore?q=budds+bmw+hamilton&date=now+1-d&geo=CA,+180%
6,Bmw st julie,https://trends.google.ca/trends/explore?q=bmw+st+julie&date=now+1-d&geo=CA,+150%
7,Bmw i4 m50,https://trends.google.ca/trends/explore?q=bmw+i4+m50&date=now+1-d&geo=CA,+140%
8,Pga leaderboard,https://trends.google.ca/trends/explore?q=pga+leaderboard&date=now+1-d&geo=CA,+130%
9,Rory mcilroy,https://trends.google.ca/trends/explore?q=rory+mcilroy&date=now+1-d&geo=CA,+130%
10,Pga bmw championship,https://trends.google.ca/trends/explore?q=pga+bmw+championship&date=now+1-d&geo=CA,+130%
6,Bmw st julie,https://trends.google.ca/trends/explore?q=bmw+st+julie&date=now+1-d&geo=CA,+150%
7,Bmw i4 m50,https://trends.google.ca/trends/explore?q=bmw+i4+m50&date=now+1-d&geo=CA,+140%
8,Pga leaderboard,https://trends.google.ca/trends/explore?q=pga+leaderboard&date=now+1-d&geo=CA,+130%
9,Rory mcilroy,https://trends.google.ca/trends/explore?q=rory+mcilroy&date=now+1-d&geo=CA,+130%
10,Pga bmw championship,https://trends.google.ca/trends/explore?q=pga+bmw+championship&date=now+1-d&geo=CA,+130%
6,Bmw st julie,https://trends.google.ca/trends/explore?q=bmw+st+julie&date=now+1-d&geo=CA,+150%
7,Bmw i4 m50,https://trends.google.ca/trends/explore?q=bmw+i4+m50&date=now+1-d&geo=CA,+140%
8,Pga leaderboard,https://trends.google.ca/trends/explore?q=pga+leaderboard&date=now+1-d&geo=CA,+130%
9,Rory mcilroy,https://trends.google.ca/trends/explore?q=rory+mcilroy&date=now+1-d&geo=CA,+130%
10,Pga bmw championship,https://trends.google.ca/trends/explore?q=pga+bmw+championship&date=now+1-d&geo=CA,+130%
6,Bmw st julie,https://trends.google.ca/trends/explore?q=bmw+st+julie&date=now+1-d&geo=CA,+150%
7,Bmw i4 m50,https://trends.google.ca/trends/explore?q=bmw+i4+m50&date=now+1-d&geo=CA,+140%
8,Pga leaderboard,https://trends.google.ca/trends/explore?q=pga+leaderboard&date=now+1-d&geo=CA,+130%
9,Rory mcilroy,https://trends.google.ca/trends/explore?q=rory+mcilroy&date=now+1-d&geo=CA,+130%
10,Pga bmw championship,https://trends.google.ca/trends/explore?q=pga+bmw+championship&date=now+1-d&geo=CA,+130%
