Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Bob's Burgers,1,Larry murphy,https://trends.google.ca/trends/explore?q=larry+murphy&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,2,Kristen schaal,https://trends.google.ca/trends/explore?q=kristen+schaal&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,3,Jenny slate bob's burgers characters,https://trends.google.ca/trends/explore?q=jenny+slate+bob's+burgers+characters&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,4,Bob's burgers twerk gif,https://trends.google.ca/trends/explore?q=bob's+burgers+twerk+gif&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,5,Bob's burgers full episodes,https://trends.google.ca/trends/explore?q=bob's+burgers+full+episodes&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,6,Bob's burgers daughter,https://trends.google.ca/trends/explore?q=bob's+burgers+daughter&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Bob's Burgers,7,Bob's burgers location,https://trends.google.ca/trends/explore?q=bob's+burgers+location&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Bob's Burgers,8,Jenny slate,https://trends.google.ca/trends/explore?q=jenny+slate&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Bob's Burgers,9,Blair socci,https://trends.google.ca/trends/explore?q=blair+socci&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Bob's Burgers,10,Bob's burgers kuchi kopi,https://trends.google.ca/trends/explore?q=bob's+burgers+kuchi+kopi&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Bob's Burgers,11,Bob's burgers creator,https://trends.google.ca/trends/explore?q=bob's+burgers+creator&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Bob's Burgers,12,Eugene bob's burgers,https://trends.google.ca/trends/explore?q=eugene+bob's+burgers&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Bob's Burgers,13,American dad,https://trends.google.ca/trends/explore?q=american+dad&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Bob's Burgers,14,Tammy bob's burgers voice,https://trends.google.ca/trends/explore?q=tammy+bob's+burgers+voice&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Bob's Burgers,15,Bob burger,https://trends.google.ca/trends/explore?q=bob+burger&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Bob's Burgers,16,Blair socci bob's burgers,https://trends.google.ca/trends/explore?q=blair+socci+bob's+burgers&date=now+1-d&geo=US,+130%,216,TV Show,2024-10-02
Bob's Burgers,17,Bob's burgers marshmallow,https://trends.google.ca/trends/explore?q=bob's+burgers+marshmallow&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Bob's Burgers,18,Rick and morty,https://trends.google.ca/trends/explore?q=rick+and+morty&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Bob's Burgers,19,Bob's burgers cookbook,https://trends.google.ca/trends/explore?q=bob's+burgers+cookbook&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Bob's Burgers,20,Bobs burgers costume,https://trends.google.ca/trends/explore?q=bobs+burgers+costume&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Bob's Burgers,21,Bob's burgers teddy,https://trends.google.ca/trends/explore?q=bob's+burgers+teddy&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Bob's Burgers,22,Bob's burgers bob voice,https://trends.google.ca/trends/explore?q=bob's+burgers+bob+voice&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Bob's Burgers,23,Where can i watch bob's burgers,https://trends.google.ca/trends/explore?q=where+can+i+watch+bob's+burgers&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Bob's Burgers,24,List of bob's burgers halloween episodes,https://trends.google.ca/trends/explore?q=list+of+bob's+burgers+halloween+episodes&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Bob's Burgers,25,What is bob's burgers on,https://trends.google.ca/trends/explore?q=what+is+bob's+burgers+on&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
