Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Bohemian Rhapsody,1,Freddie mercury teeth,https://trends.google.ca/trends/explore?q=freddie+mercury+teeth&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Bohemian Rhapsody,2,Bohemian rhapsody hidden meaning,https://trends.google.ca/trends/explore?q=bohemian+rhapsody+hidden+meaning&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Bohemian Rhapsody,3,Taron egerton,https://trends.google.ca/trends/explore?q=taron+egerton&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Bohemian Rhapsody,4,Rocket man movie,https://trends.google.ca/trends/explore?q=rocket+man+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Bohemian Rhapsody,5,Die with a smile lyrics,https://trends.google.ca/trends/explore?q=die+with+a+smile+lyrics&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Bohemian Rhapsody,6,Aaron mccusker,https://trends.google.ca/trends/explore?q=aaron+mccusker&date=now+7-d&geo=US,"+3,250%",154,Movie,2024-10-03
Bohemian Rhapsody,7,Bohemian rhapsody trumpet sheet music,https://trends.google.ca/trends/explore?q=bohemian+rhapsody+trumpet+sheet+music&date=now+7-d&geo=US,"+3,000%",154,Movie,2024-10-03
Bohemian Rhapsody,8,How to make siri sing bohemian rhapsody,https://trends.google.ca/trends/explore?q=how+to+make+siri+sing+bohemian+rhapsody&date=now+7-d&geo=US,"+2,200%",154,Movie,2024-10-03
Bohemian Rhapsody,9,How accurate is bohemian rhapsody,https://trends.google.ca/trends/explore?q=how+accurate+is+bohemian+rhapsody&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Bohemian Rhapsody,10,Bohemian rhapsody pronunciation,https://trends.google.ca/trends/explore?q=bohemian+rhapsody+pronunciation&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Bohemian Rhapsody,11,Jim hutton freddie mercury,https://trends.google.ca/trends/explore?q=jim+hutton+freddie+mercury&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Bohemian Rhapsody,12,Live aid concert,https://trends.google.ca/trends/explore?q=live+aid+concert&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Bohemian Rhapsody,13,Queen – bohemian rhapsody,https://trends.google.ca/trends/explore?q=queen+%E2%80%93+bohemian+rhapsody&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Bohemian Rhapsody,14,The little things,https://trends.google.ca/trends/explore?q=the+little+things&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Bohemian Rhapsody,15,What year was bohemian rhapsody released,https://trends.google.ca/trends/explore?q=what+year+was+bohemian+rhapsody+released&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Bohemian Rhapsody,16,Somebody to love lyrics,https://trends.google.ca/trends/explore?q=somebody+to+love+lyrics&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Bohemian Rhapsody,17,Emma corrin,https://trends.google.ca/trends/explore?q=emma+corrin&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Bohemian Rhapsody,18,Angelina jordan bohemian rhapsody,https://trends.google.ca/trends/explore?q=angelina+jordan+bohemian+rhapsody&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Bohemian Rhapsody,19,Angelina jordan,https://trends.google.ca/trends/explore?q=angelina+jordan&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Bohemian Rhapsody,20,We will rock you lyrics,https://trends.google.ca/trends/explore?q=we+will+rock+you+lyrics&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Bohemian Rhapsody,21,Mary austin,https://trends.google.ca/trends/explore?q=mary+austin&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Bohemian Rhapsody,22,Who sang in bohemian rhapsody movie,https://trends.google.ca/trends/explore?q=who+sang+in+bohemian+rhapsody+movie&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Bohemian Rhapsody,23,Bohemian rhapsody movie awards,https://trends.google.ca/trends/explore?q=bohemian+rhapsody+movie+awards&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Bohemian Rhapsody,24,Where to watch bohemian rhapsody movie,https://trends.google.ca/trends/explore?q=where+to+watch+bohemian+rhapsody+movie&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
