Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Buffy The Vampire Slayer,1,Freddie prinze jr.,https://trends.google.ca/trends/explore?q=freddie+prinze+jr.&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Buffy The Vampire Slayer,2,Robia scott,https://trends.google.ca/trends/explore?q=robia+scott&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Buffy The Vampire Slayer,3,First daughter,https://trends.google.ca/trends/explore?q=first+daughter&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Buffy The Vampire Slayer,4,Anthony stewart head,https://trends.google.ca/trends/explore?q=anthony+stewart+head&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Buffy The Vampire Slayer,5,Xena warrior princess,https://trends.google.ca/trends/explore?q=xena+warrior+princess&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,6,Where was buffy the vampire slayer filmed,https://trends.google.ca/trends/explore?q=where+was+buffy+the+vampire+slayer+filmed&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,7,Buffy the vampire slayer poster,https://trends.google.ca/trends/explore?q=buffy+the+vampire+slayer+poster&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,8,Sleepy hollow,https://trends.google.ca/trends/explore?q=sleepy+hollow&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,9,Mark metcalf,https://trends.google.ca/trends/explore?q=mark+metcalf&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,10,Prison break,https://trends.google.ca/trends/explore?q=prison+break&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,11,Clea duvall,https://trends.google.ca/trends/explore?q=clea+duvall&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,12,Rutger hauer,https://trends.google.ca/trends/explore?q=rutger+hauer&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,13,Spike from buffy the vampire slayer,https://trends.google.ca/trends/explore?q=spike+from+buffy+the+vampire+slayer&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,14,Buffy the vampire slayer musical,https://trends.google.ca/trends/explore?q=buffy+the+vampire+slayer+musical&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,15,Brian thompson,https://trends.google.ca/trends/explore?q=brian+thompson&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,16,Buffy the vampire slayer age rating,https://trends.google.ca/trends/explore?q=buffy+the+vampire+slayer+age+rating&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,17,Bianca lawson,https://trends.google.ca/trends/explore?q=bianca+lawson&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,18,Faith buffy the vampire slayer actress,https://trends.google.ca/trends/explore?q=faith+buffy+the+vampire+slayer+actress&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,19,David boreanaz movies and tv shows,https://trends.google.ca/trends/explore?q=david+boreanaz+movies+and+tv+shows&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
Buffy The Vampire Slayer,20,Sarah michelle gellar net worth,https://trends.google.ca/trends/explore?q=sarah+michelle+gellar+net+worth&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
