Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Call of Duty,1,What is the latest call of duty game,https://trends.google.ca/trends/explore?q=what+is+the+latest+call+of+duty+game&date=now+1-d&geo=US,"+4,600%",217,Franchise,2024-10-02
Call of Duty,2,Gaz call of duty,https://trends.google.ca/trends/explore?q=gaz+call+of+duty&date=now+1-d&geo=US,+550%,217,Franchise,2024-10-02
Call of Duty,3,Call of duty meta guns,https://trends.google.ca/trends/explore?q=call+of+duty+meta+guns&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Call of Duty,4,Call of duty patch notes,https://trends.google.ca/trends/explore?q=call+of+duty+patch+notes&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Call of Duty,5,Call of duty black ops 6 early access date,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+6+early+access+date&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Call of Duty,6,Sparking zero,https://trends.google.ca/trends/explore?q=sparking+zero&date=now+1-d&geo=US,+150%,217,Franchise,2024-10-02
Call of Duty,7,Xbox game pass,https://trends.google.ca/trends/explore?q=xbox+game+pass&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Call of Duty,8,Dragon ball sparking zero,https://trends.google.ca/trends/explore?q=dragon+ball+sparking+zero&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Call of Duty,9,Black ops 6 zombies,https://trends.google.ca/trends/explore?q=black+ops+6+zombies&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Call of Duty,10,Call of duty age rating,https://trends.google.ca/trends/explore?q=call+of+duty+age+rating&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Call of Duty,11,Call of duty black ops 6 zombies,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+6+zombies&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Call of Duty,12,Latest call of duty game,https://trends.google.ca/trends/explore?q=latest+call+of+duty+game&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Call of Duty,13,Call of duty bo6 release date,https://trends.google.ca/trends/explore?q=call+of+duty+bo6+release+date&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Call of Duty,14,Farah call of duty,https://trends.google.ca/trends/explore?q=farah+call+of+duty&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Call of Duty,15,Battlenet,https://trends.google.ca/trends/explore?q=battlenet&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Call of Duty,16,Call of duty big red one,https://trends.google.ca/trends/explore?q=call+of+duty+big+red+one&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Call of Duty,17,Call of duty black ops 6 beta,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+6+beta&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Call of Duty,18,Undisputed boxing game,https://trends.google.ca/trends/explore?q=undisputed+boxing+game&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Call of Duty,19,Call of duty ghosts,https://trends.google.ca/trends/explore?q=call+of+duty+ghosts&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Call of Duty,20,Madden 25,https://trends.google.ca/trends/explore?q=madden+25&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Call of Duty,21,Call of duty black ops 6 vault edition,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+6+vault+edition&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Call of Duty,22,Call of duty black ops 6 release date,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+6+release+date&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Call of Duty,23,Black ops 6 release date,https://trends.google.ca/trends/explore?q=black+ops+6+release+date&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Call of Duty,24,Call of duty 6 release date,https://trends.google.ca/trends/explore?q=call+of+duty+6+release+date&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Call of Duty,25,Call of duty black ops release date,https://trends.google.ca/trends/explore?q=call+of+duty+black+ops+release+date&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
