Line Number,Label Text,Link,Rising Value
1,National cheeseburger day canada,https://trends.google.ca/trends/explore?q=national+cheeseburger+day+canada&date=now+7-d&geo=CA,"+4,600%"
2,Canada vs nepal,https://trends.google.ca/trends/explore?q=canada+vs+nepal&date=now+7-d&geo=CA,"+1,900%"
3,Daylight savings 2024 canada,https://trends.google.ca/trends/explore?q=daylight+savings+2024+canada&date=now+7-d&geo=CA,"+1,150%"
4,By election canada,https://trends.google.ca/trends/explore?q=by+election+canada&date=now+7-d&geo=CA,+700%
5,Tupperware canada,https://trends.google.ca/trends/explore?q=tupperware+canada&date=now+7-d&geo=CA,+300%
6,Elections canada,https://trends.google.ca/trends/explore?q=elections+canada&date=now+7-d&geo=CA,+180%
7,Election canada,https://trends.google.ca/trends/explore?q=election+canada&date=now+7-d&geo=CA,+70%
8,Canada immigration news,https://trends.google.ca/trends/explore?q=canada+immigration+news&date=now+7-d&geo=CA,+70%
9,Crocs canada,https://trends.google.ca/trends/explore?q=crocs+canada&date=now+7-d&geo=CA,+60%
10,Environment canada winnipeg,https://trends.google.ca/trends/explore?q=environment+canada+winnipeg&date=now+7-d&geo=CA,+60%
11,Figs canada,https://trends.google.ca/trends/explore?q=figs+canada&date=now+7-d&geo=CA,+50%
