Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Captain Marvel,1,Brie larson kids,https://trends.google.ca/trends/explore?q=brie+larson+kids&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,2,Brie larson son,https://trends.google.ca/trends/explore?q=brie+larson+son&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,3,Brie larson children,https://trends.google.ca/trends/explore?q=brie+larson+children&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,4,Jacob tremblay,https://trends.google.ca/trends/explore?q=jacob+tremblay&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,5,Zachary levi,https://trends.google.ca/trends/explore?q=zachary+levi&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,6,Good boys,https://trends.google.ca/trends/explore?q=good+boys&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Captain Marvel,7,The marvels box office,https://trends.google.ca/trends/explore?q=the+marvels+box+office&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
 Captain Marvel,8,Ghostbusters afterlife,https://trends.google.ca/trends/explore?q=ghostbusters+afterlife&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Captain Marvel,9,Captain marvel son,https://trends.google.ca/trends/explore?q=captain+marvel+son&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Captain Marvel,10,Who is the strongest avenger,https://trends.google.ca/trends/explore?q=who+is+the+strongest+avenger&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Captain Marvel,11,Annette bening,https://trends.google.ca/trends/explore?q=annette+bening&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Captain Marvel,12,Jude law,https://trends.google.ca/trends/explore?q=jude+law&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Captain Marvel,13,21 jump street,https://trends.google.ca/trends/explore?q=21+jump+street&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Captain Marvel,14,Hayley atwell,https://trends.google.ca/trends/explore?q=hayley+atwell&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
 Captain Marvel,15,Captain america first avenger cast,https://trends.google.ca/trends/explore?q=captain+america+first+avenger+cast&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
 Captain Marvel,16,Ben mendelsohn,https://trends.google.ca/trends/explore?q=ben+mendelsohn&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
 Captain Marvel,17,Kate bishop,https://trends.google.ca/trends/explore?q=kate+bishop&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
 Captain Marvel,18,Brie larson kid,https://trends.google.ca/trends/explore?q=brie+larson+kid&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
 Captain Marvel,19,Lashana lynch,https://trends.google.ca/trends/explore?q=lashana+lynch&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
 Captain Marvel,20,Brie larson,https://trends.google.ca/trends/explore?q=brie+larson&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
 Captain Marvel,21,Brie larson captain marvel,https://trends.google.ca/trends/explore?q=brie+larson+captain+marvel&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
 Captain Marvel,22,Hugh jackman,https://trends.google.ca/trends/explore?q=hugh+jackman&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
 Captain Marvel,23,Scarlet witch costume,https://trends.google.ca/trends/explore?q=scarlet+witch+costume&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
 Captain Marvel,24,Captain marvel cosplay,https://trends.google.ca/trends/explore?q=captain+marvel+cosplay&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 Captain Marvel,25,Captain marvel news twitter,https://trends.google.ca/trends/explore?q=captain+marvel+news+twitter&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
