Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Carrie,1,Carrie kwok,https://trends.google.ca/trends/explore?q=carrie+kwok&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Carrie,2,Carrie shobe kwok,https://trends.google.ca/trends/explore?q=carrie+shobe+kwok&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Carrie,3,Seantrell murdock,https://trends.google.ca/trends/explore?q=seantrell+murdock&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Carrie,4,Jenna lyons,https://trends.google.ca/trends/explore?q=jenna+lyons&date=now+7-d&geo=US,"+1,100%",154,Movie,2024-10-03
Carrie,5,Carrie donovan,https://trends.google.ca/trends/explore?q=carrie+donovan&date=now+7-d&geo=US,"+1,050%",154,Movie,2024-10-03
Carrie,6,I'm gonna love you cody johnson lyrics,https://trends.google.ca/trends/explore?q=i'm+gonna+love+you+cody+johnson+lyrics&date=now+7-d&geo=US,+750%,154,Movie,2024-10-03
Carrie,7,Cody johnson carrie underwood lyrics,https://trends.google.ca/trends/explore?q=cody+johnson+carrie+underwood+lyrics&date=now+7-d&geo=US,+700%,154,Movie,2024-10-03
Carrie,8,Carrie keegan,https://trends.google.ca/trends/explore?q=carrie+keegan&date=now+7-d&geo=US,+550%,154,Movie,2024-10-03
Carrie,9,Cody johnson and carrie underwood new song,https://trends.google.ca/trends/explore?q=cody+johnson+and+carrie+underwood+new+song&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
Carrie,10,Carrie underwood i'm gonna love you,https://trends.google.ca/trends/explore?q=carrie+underwood+i'm+gonna+love+you&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
Carrie,11,How much does carrie underwood make for sunday night football,https://trends.google.ca/trends/explore?q=how+much+does+carrie+underwood+make+for+sunday+night+football&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Carrie,12,I'm gonna love you cody johnson,https://trends.google.ca/trends/explore?q=i'm+gonna+love+you+cody+johnson&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Carrie,13,Carrie underwood new song,https://trends.google.ca/trends/explore?q=carrie+underwood+new+song&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Carrie,14,Carrie kegan,https://trends.google.ca/trends/explore?q=carrie+kegan&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Carrie,15,Carrie keagan images,https://trends.google.ca/trends/explore?q=carrie+keagan+images&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Carrie,16,Carrie burnett,https://trends.google.ca/trends/explore?q=carrie+burnett&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Carrie,17,Carrie keagan movies and tv shows,https://trends.google.ca/trends/explore?q=carrie+keagan+movies+and+tv+shows&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Carrie,18,Carrie keagan,https://trends.google.ca/trends/explore?q=carrie+keagan&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Carrie,19,Shania twain,https://trends.google.ca/trends/explore?q=shania+twain&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Carrie,20,Carol burnett,https://trends.google.ca/trends/explore?q=carol+burnett&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Carrie,21,How much does carrie underwood make for sunday night,https://trends.google.ca/trends/explore?q=how+much+does+carrie+underwood+make+for+sunday+night&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Carrie,22,Carrie underwood cody johnson,https://trends.google.ca/trends/explore?q=carrie+underwood+cody+johnson&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Carrie,23,Cody johnson,https://trends.google.ca/trends/explore?q=cody+johnson&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Carrie,24,Carrie johnson,https://trends.google.ca/trends/explore?q=carrie+johnson&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Carrie,25,How much does carrie underwood make per show,https://trends.google.ca/trends/explore?q=how+much+does+carrie+underwood+make+per+show&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
