Line Number,Label Text,Link,Rising Value
1,Scherer chevrolet buick gmc ltd,https://trends.google.ca/trends/explore?q=scherer+chevrolet+buick+gmc+ltd&date=now+1-d&geo=CA,Breakout
2,Dion chevrolet,https://trends.google.ca/trends/explore?q=dion+chevrolet&date=now+1-d&geo=CA,Breakout
3,Buick envista,https://trends.google.ca/trends/explore?q=buick+envista&date=now+1-d&geo=CA,Breakout
4,Bmw canada,https://trends.google.ca/trends/explore?q=bmw+canada&date=now+1-d&geo=CA,Breakout
5,Toner chevrolet,https://trends.google.ca/trends/explore?q=toner+chevrolet&date=now+1-d&geo=CA,Breakout
6,Kenny u pull,https://trends.google.ca/trends/explore?q=kenny+u+pull&date=now+1-d&geo=CA,Breakout
7,Hmp exeter,https://trends.google.ca/trends/explore?q=hmp+exeter&date=now+1-d&geo=CA,Breakout
8,Otogo,https://trends.google.ca/trends/explore?q=otogo&date=now+1-d&geo=CA,Breakout
9,Murray chevrolet lethbridge,https://trends.google.ca/trends/explore?q=murray+chevrolet+lethbridge&date=now+1-d&geo=CA,+350%
10,Paul sadlon,https://trends.google.ca/trends/explore?q=paul+sadlon&date=now+1-d&geo=CA,+350%
11,Ingersoll chevrolet,https://trends.google.ca/trends/explore?q=ingersoll+chevrolet&date=now+1-d&geo=CA,+300%
12,Mitsubishi outlander,https://trends.google.ca/trends/explore?q=mitsubishi+outlander&date=now+1-d&geo=CA,+200%
13,Macmaster chevrolet,https://trends.google.ca/trends/explore?q=macmaster+chevrolet&date=now+1-d&geo=CA,+190%
14,Southside chevrolet,https://trends.google.ca/trends/explore?q=southside+chevrolet&date=now+1-d&geo=CA,+190%
15,Murray chevrolet brandon,https://trends.google.ca/trends/explore?q=murray+chevrolet+brandon&date=now+1-d&geo=CA,+190%
16,Christin chevrolet,https://trends.google.ca/trends/explore?q=christin+chevrolet&date=now+1-d&geo=CA,+180%
17,Jenner chevrolet,https://trends.google.ca/trends/explore?q=jenner+chevrolet&date=now+1-d&geo=CA,+150%
18,Range rover,https://trends.google.ca/trends/explore?q=range+rover&date=now+1-d&geo=CA,+140%
19,Nissan kicks,https://trends.google.ca/trends/explore?q=nissan+kicks&date=now+1-d&geo=CA,+140%
20,Wallace chevrolet,https://trends.google.ca/trends/explore?q=wallace+chevrolet&date=now+1-d&geo=CA,+130%
21,Hamel chevrolet,https://trends.google.ca/trends/explore?q=hamel+chevrolet&date=now+1-d&geo=CA,+130%
22,Chevrolet chicoutimi,https://trends.google.ca/trends/explore?q=chevrolet+chicoutimi&date=now+1-d&geo=CA,+120%
23,Boulevard chevrolet rimouski,https://trends.google.ca/trends/explore?q=boulevard+chevrolet+rimouski&date=now+1-d&geo=CA,+120%
24,Jim gauthier chevrolet,https://trends.google.ca/trends/explore?q=jim+gauthier+chevrolet&date=now+1-d&geo=CA,+110%
25,Jim wilson chevrolet,https://trends.google.ca/trends/explore?q=jim+wilson+chevrolet&date=now+1-d&geo=CA,+100%
