Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Child's Play,1,Curse of chucky,https://trends.google.ca/trends/explore?q=curse+of+chucky&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Child's Play,2,Friday the 13th 1980,https://trends.google.ca/trends/explore?q=friday+the+13th+1980&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Child's Play,3,Coraline,https://trends.google.ca/trends/explore?q=coraline&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Child's Play,4,Where to watch child's play 1988,https://trends.google.ca/trends/explore?q=where+to+watch+child's+play+1988&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Child's Play,5,Halloween 1978,https://trends.google.ca/trends/explore?q=halloween+1978&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Child's Play,6,Chris sarandon,https://trends.google.ca/trends/explore?q=chris+sarandon&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Child's Play,7,Halloween movies,https://trends.google.ca/trends/explore?q=halloween+movies&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Child's Play,8,Where can i watch child's play,https://trends.google.ca/trends/explore?q=where+can+i+watch+child's+play&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Child's Play,9,Watch child's play 1988,https://trends.google.ca/trends/explore?q=watch+child's+play+1988&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Child's Play,10,Child's play candy,https://trends.google.ca/trends/explore?q=child's+play+candy&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Child's Play,11,Where to watch child's play,https://trends.google.ca/trends/explore?q=where+to+watch+child's+play&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Child's Play,12,Scream,https://trends.google.ca/trends/explore?q=scream&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Child's Play,13,Jennifer tilly,https://trends.google.ca/trends/explore?q=jennifer+tilly&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
