Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Conan the Barbarian,1,Rambo,https://trends.google.ca/trends/explore?q=rambo&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Conan the Barbarian,2,Mk1 ghostface release date,https://trends.google.ca/trends/explore?q=mk1+ghostface+release+date&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Conan the Barbarian,3,Kull the conqueror,https://trends.google.ca/trends/explore?q=kull+the+conqueror&date=now+7-d&geo=US,+800%,217,Franchise,2024-10-03
Conan the Barbarian,4,Conan the barbarian images,https://trends.google.ca/trends/explore?q=conan+the+barbarian+images&date=now+7-d&geo=US,+500%,217,Franchise,2024-10-03
Conan the Barbarian,5,Beastmaster,https://trends.google.ca/trends/explore?q=beastmaster&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Conan the Barbarian,6,Who wrote conan the barbarian,https://trends.google.ca/trends/explore?q=who+wrote+conan+the+barbarian&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Conan the Barbarian,7,Terminator 2,https://trends.google.ca/trends/explore?q=terminator+2&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Conan the Barbarian,8,Gerry lopez,https://trends.google.ca/trends/explore?q=gerry+lopez&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Conan the Barbarian,9,Arnold schwarzenegger movies,https://trends.google.ca/trends/explore?q=arnold+schwarzenegger+movies&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Conan the Barbarian,10,Flash gordon,https://trends.google.ca/trends/explore?q=flash+gordon&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Conan the Barbarian,11,T-1000,https://trends.google.ca/trends/explore?q=t-1000&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Conan the Barbarian,12,Conan the barbarian remake,https://trends.google.ca/trends/explore?q=conan+the+barbarian+remake&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Conan the Barbarian,13,Mortal kombat 1,https://trends.google.ca/trends/explore?q=mortal+kombat+1&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Conan the Barbarian,14,Conan the barbarian comic books,https://trends.google.ca/trends/explore?q=conan+the+barbarian+comic+books&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Conan the Barbarian,15,Conan the barbarian characters,https://trends.google.ca/trends/explore?q=conan+the+barbarian+characters&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Conan the Barbarian,16,Frank frazetta,https://trends.google.ca/trends/explore?q=frank+frazetta&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Conan the Barbarian,17,Red sonja,https://trends.google.ca/trends/explore?q=red+sonja&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Conan the Barbarian,18,Conan the barbarian what is best in life,https://trends.google.ca/trends/explore?q=conan+the+barbarian+what+is+best+in+life&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Conan the Barbarian,19,Cast of conan the barbarian,https://trends.google.ca/trends/explore?q=cast+of+conan+the+barbarian&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
