Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Cowboy Bebop,1,Whatever happens happens cowboy bebop,https://trends.google.ca/trends/explore?q=whatever+happens+happens+cowboy+bebop&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Cowboy Bebop,2,When did cowboy bebop come out,https://trends.google.ca/trends/explore?q=when+did+cowboy+bebop+come+out&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Cowboy Bebop,3,Cowboy bebop season 2,https://trends.google.ca/trends/explore?q=cowboy+bebop+season+2&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Cowboy Bebop,4,Is cowboy bebop good,https://trends.google.ca/trends/explore?q=is+cowboy+bebop+good&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Cowboy Bebop,5,Cowboy bebop funko pop,https://trends.google.ca/trends/explore?q=cowboy+bebop+funko+pop&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Cowboy Bebop,6,Cowboy bebop tattoo,https://trends.google.ca/trends/explore?q=cowboy+bebop+tattoo&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Cowboy Bebop,7,Overwatch cowboy bebop skins,https://trends.google.ca/trends/explore?q=overwatch+cowboy+bebop+skins&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Cowboy Bebop,8,Edward cowboy bebop,https://trends.google.ca/trends/explore?q=edward+cowboy+bebop&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Cowboy Bebop,9,Jet black cowboy bebop,https://trends.google.ca/trends/explore?q=jet+black+cowboy+bebop&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Cowboy Bebop,10,Attack on titan,https://trends.google.ca/trends/explore?q=attack+on+titan&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Cowboy Bebop,11,Faye valentine,https://trends.google.ca/trends/explore?q=faye+valentine&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Cowboy Bebop,12,Cowboy bebop mtg cards,https://trends.google.ca/trends/explore?q=cowboy+bebop+mtg+cards&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Cowboy Bebop,13,Cowboy bebop shirt,https://trends.google.ca/trends/explore?q=cowboy+bebop+shirt&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Cowboy Bebop,14,Where to watch cowboy bebop,https://trends.google.ca/trends/explore?q=where+to+watch+cowboy+bebop&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Cowboy Bebop,15,Cowboy bebop vicious,https://trends.google.ca/trends/explore?q=cowboy+bebop+vicious&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Cowboy Bebop,16,Akira,https://trends.google.ca/trends/explore?q=akira&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Cowboy Bebop,17,Evangelion,https://trends.google.ca/trends/explore?q=evangelion&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Cowboy Bebop,18,Cowboy bebop costume,https://trends.google.ca/trends/explore?q=cowboy+bebop+costume&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
