Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Criminal Minds,1,Sydney manning criminal minds,https://trends.google.ca/trends/explore?q=sydney+manning+criminal+minds&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Criminal Minds,2,Criminal minds date night,https://trends.google.ca/trends/explore?q=criminal+minds+date+night&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Criminal Minds,3,Billy flynn criminal minds,https://trends.google.ca/trends/explore?q=billy+flynn+criminal+minds&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Criminal Minds,4,Adam jackson criminal minds,https://trends.google.ca/trends/explore?q=adam+jackson+criminal+minds&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Criminal Minds,5,Jonny mchale criminal minds,https://trends.google.ca/trends/explore?q=jonny+mchale+criminal+minds&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Criminal Minds,6,Criminal minds hope,https://trends.google.ca/trends/explore?q=criminal+minds+hope&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Criminal Minds,7,Criminal minds proof,https://trends.google.ca/trends/explore?q=criminal+minds+proof&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Criminal Minds,8,Rachael leigh cook,https://trends.google.ca/trends/explore?q=rachael+leigh+cook&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Criminal Minds,9,Is criminal minds based on true stories,https://trends.google.ca/trends/explore?q=is+criminal+minds+based+on+true+stories&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Criminal Minds,10,Prince of darkness criminal minds,https://trends.google.ca/trends/explore?q=prince+of+darkness+criminal+minds&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Criminal Minds,11,Brianna brown,https://trends.google.ca/trends/explore?q=brianna+brown&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Criminal Minds,12,Matt simmons criminal minds,https://trends.google.ca/trends/explore?q=matt+simmons+criminal+minds&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Criminal Minds,13,Gideon from criminal minds,https://trends.google.ca/trends/explore?q=gideon+from+criminal+minds&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Criminal Minds,14,Josh stewart,https://trends.google.ca/trends/explore?q=josh+stewart&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Criminal Minds,15,How many seasons does criminal minds have,https://trends.google.ca/trends/explore?q=how+many+seasons+does+criminal+minds+have&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
