Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Critical Role,1,Availability heuristic,https://trends.google.ca/trends/explore?q=availability+heuristic&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Critical Role,2,What role does the availability heuristic play in critical thinking?,https://trends.google.ca/trends/explore?q=what+role+does+the+availability+heuristic+play+in+critical+thinking?&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Critical Role,3,Thordak critical role,https://trends.google.ca/trends/explore?q=thordak+critical+role&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Critical Role,4,Lance reddick,https://trends.google.ca/trends/explore?q=lance+reddick&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Critical Role,5,Critical role schedule this week,https://trends.google.ca/trends/explore?q=critical+role+schedule+this+week&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Critical Role,6,"From the following compounds involved in cellular respiration, choose those that are the net inputs and net outputs of glycolysis.","https://trends.google.ca/trends/explore?q=from+the+following+compounds+involved+in+cellular+respiration,+choose+those+that+are+the+net+inputs+and+net+outputs+of+glycolysis.&date=now+7-d&geo=US",+250%,216,TV Show,2024-10-03
Critical Role,7,Confirmation bias,https://trends.google.ca/trends/explore?q=confirmation+bias&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Critical Role,8,"Among the products of glycolysis, which compounds contain energy that can be used by other biological reactions?","https://trends.google.ca/trends/explore?q=among+the+products+of+glycolysis,+which+compounds+contain+energy+that+can+be+used+by+other+biological+reactions?&date=now+7-d&geo=US",+180%,216,TV Show,2024-10-03
Critical Role,9,Jester lavorre,https://trends.google.ca/trends/explore?q=jester+lavorre&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Critical Role,10,Gilmore critical role,https://trends.google.ca/trends/explore?q=gilmore+critical+role&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Critical Role,11,Legend of vox machina season 3,https://trends.google.ca/trends/explore?q=legend+of+vox+machina+season+3&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Critical Role,12,Zahra critical role,https://trends.google.ca/trends/explore?q=zahra+critical+role&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Critical Role,13,Critical role schedule,https://trends.google.ca/trends/explore?q=critical+role+schedule&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Critical Role,14,Legend of vox machina,https://trends.google.ca/trends/explore?q=legend+of+vox+machina&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Critical Role,15,Brian foster,https://trends.google.ca/trends/explore?q=brian+foster&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Critical Role,16,Brian foster critical role,https://trends.google.ca/trends/explore?q=brian+foster+critical+role&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Critical Role,17,Shop critical role,https://trends.google.ca/trends/explore?q=shop+critical+role&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Critical Role,18,Critical role season 3,https://trends.google.ca/trends/explore?q=critical+role+season+3&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
