Query,Line Number,Seed,Link,Rising Value,Date
 CSS,1,Css citas,https://trends.google.ca/trends/explore?q=css+citas&date=now+7-d&geo=CA,"+3,050%",2024-09-26
 CSS,2,W3 css validator,https://trends.google.ca/trends/explore?q=w3+css+validator&date=now+7-d&geo=CA,+250%,2024-09-26
 CSS,3,Css des trois-lacs,https://trends.google.ca/trends/explore?q=css+des+trois-lacs&date=now+7-d&geo=CA,+160%,2024-09-26
 CSS,4,Html validator,https://trends.google.ca/trends/explore?q=html+validator&date=now+7-d&geo=CA,+120%,2024-09-26
 CSS,5,Css de la rivière-du-nord,https://trends.google.ca/trends/explore?q=css+de+la+rivi%C3%A8re-du-nord&date=now+7-d&geo=CA,+120%,2024-09-26
 CSS,6,Justify content css,https://trends.google.ca/trends/explore?q=justify+content+css&date=now+7-d&geo=CA,+120%,2024-09-26
 CSS,7,Css hagroup,https://trends.google.ca/trends/explore?q=css+hagroup&date=now+7-d&geo=CA,+120%,2024-09-26
 CSS,8,Css validator,https://trends.google.ca/trends/explore?q=css+validator&date=now+7-d&geo=CA,+100%,2024-09-26
 CSS,9,W3c css validator,https://trends.google.ca/trends/explore?q=w3c+css+validator&date=now+7-d&geo=CA,+100%,2024-09-26
 CSS,10,Fontawesome,https://trends.google.ca/trends/explore?q=fontawesome&date=now+7-d&geo=CA,+80%,2024-09-26
 CSS,11,Comments in css,https://trends.google.ca/trends/explore?q=comments+in+css&date=now+7-d&geo=CA,+80%,2024-09-26
 CSS,12,Css cote du sud,https://trends.google.ca/trends/explore?q=css+cote+du+sud&date=now+7-d&geo=CA,+70%,2024-09-26
 CSS,13,Css log in,https://trends.google.ca/trends/explore?q=css+log+in&date=now+7-d&geo=CA,+70%,2024-09-26
 CSS,14,Css val des cerfs,https://trends.google.ca/trends/explore?q=css+val+des+cerfs&date=now+7-d&geo=CA,+70%,2024-09-26
 CSS,15,Css box model,https://trends.google.ca/trends/explore?q=css+box+model&date=now+7-d&geo=CA,+60%,2024-09-26
 CSS,16,Colour picker,https://trends.google.ca/trends/explore?q=colour+picker&date=now+7-d&geo=CA,+60%,2024-09-26
 CSS,17,Hide scrollbar css,https://trends.google.ca/trends/explore?q=hide+scrollbar+css&date=now+7-d&geo=CA,+60%,2024-09-26
 CSS,18,Pexels,https://trends.google.ca/trends/explore?q=pexels&date=now+7-d&geo=CA,+60%,2024-09-26
 CSS,19,How to comment in css,https://trends.google.ca/trends/explore?q=how+to+comment+in+css&date=now+7-d&geo=CA,+50%,2024-09-26
 CSS,20,Css text shadow,https://trends.google.ca/trends/explore?q=css+text+shadow&date=now+7-d&geo=CA,+50%,2024-09-26
