Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
D.C.,1,Discrimination,https://trends.google.ca/trends/explore?q=discrimination&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
D.C.,2,Love is blind dc,https://trends.google.ca/trends/explore?q=love+is+blind+dc&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
D.C.,3,Columbus vs inter miami,https://trends.google.ca/trends/explore?q=columbus+vs+inter+miami&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
D.C.,4,Orlando city vs philadelphia,https://trends.google.ca/trends/explore?q=orlando+city+vs+philadelphia&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
D.C.,5,Nashville sc,https://trends.google.ca/trends/explore?q=nashville+sc&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
D.C.,6,Toronto vs ny red bulls,https://trends.google.ca/trends/explore?q=toronto+vs+ny+red+bulls&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
D.C.,7,What does d.c. stand for,https://trends.google.ca/trends/explore?q=what+does+d.c.+stand+for&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
D.C.,8,Nashville vs d.c. united,https://trends.google.ca/trends/explore?q=nashville+vs+d.c.+united&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
D.C.,9,"Approximately, how many americans speak spanish as their first language?","https://trends.google.ca/trends/explore?q=approximately,+how+many+americans+speak+spanish+as+their+first+language?&date=now+1-d&geo=US",+90%,217,Franchise,2024-10-02
D.C.,10,"Is washington, d.c. in maryland or virginia","https://trends.google.ca/trends/explore?q=is+washington,+d.c.+in+maryland+or+virginia&date=now+1-d&geo=US",+90%,217,Franchise,2024-10-02
D.C.,11,Washington d.c. weather,https://trends.google.ca/trends/explore?q=washington+d.c.+weather&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
D.C.,12,Mls,https://trends.google.ca/trends/explore?q=mls&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
D.C.,13,"Where is washington, d.c. on the map","https://trends.google.ca/trends/explore?q=where+is+washington,+d.c.+on+the+map&date=now+1-d&geo=US",+50%,217,Franchise,2024-10-02
D.C.,14,Weather d.c.,https://trends.google.ca/trends/explore?q=weather+d.c.&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
D.C.,15,Columbus vs d.c. united,https://trends.google.ca/trends/explore?q=columbus+vs+d.c.+united&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
