Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Dark Souls,1,Dark souls 3 fire fades edition,https://trends.google.ca/trends/explore?q=dark+souls+3+fire+fades+edition&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Dark Souls,2,Dark souls trilogy ps4,https://trends.google.ca/trends/explore?q=dark+souls+trilogy+ps4&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Dark Souls,3,Dark souls 2 route,https://trends.google.ca/trends/explore?q=dark+souls+2+route&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Dark Souls,4,Dark souls 2 undead purgatory,https://trends.google.ca/trends/explore?q=dark+souls+2+undead+purgatory&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Dark Souls,5,Why do people hate dark souls 2,https://trends.google.ca/trends/explore?q=why+do+people+hate+dark+souls+2&date=now+1-d&geo=US,"+4,200%",217,Franchise,2024-10-02
Dark Souls,6,Dark souls 3 ashes of ariandel,https://trends.google.ca/trends/explore?q=dark+souls+3+ashes+of+ariandel&date=now+1-d&geo=US,+350%,217,Franchise,2024-10-02
Dark Souls,7,Dark souls gifts,https://trends.google.ca/trends/explore?q=dark+souls+gifts&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Dark Souls,8,Dark souls siegmeyer,https://trends.google.ca/trends/explore?q=dark+souls+siegmeyer&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Dark Souls,9,Demon souls release date,https://trends.google.ca/trends/explore?q=demon+souls+release+date&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Dark Souls,10,Dark souls 3 first boss,https://trends.google.ca/trends/explore?q=dark+souls+3+first+boss&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Dark Souls,11,Dark souls seamless coop,https://trends.google.ca/trends/explore?q=dark+souls+seamless+coop&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Dark Souls,12,Dark souls fire keeper soul,https://trends.google.ca/trends/explore?q=dark+souls+fire+keeper+soul&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Dark Souls,13,Dark souls character planner,https://trends.google.ca/trends/explore?q=dark+souls+character+planner&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Dark Souls,14,Dark souls gwynevere,https://trends.google.ca/trends/explore?q=dark+souls+gwynevere&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Dark Souls,15,Moonlight butterfly dark souls,https://trends.google.ca/trends/explore?q=moonlight+butterfly+dark+souls&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Dark Souls,16,Priscilla dark souls,https://trends.google.ca/trends/explore?q=priscilla+dark+souls&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Dark Souls,17,Dark souls trilogy,https://trends.google.ca/trends/explore?q=dark+souls+trilogy&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Dark Souls,18,Lautrec dark souls,https://trends.google.ca/trends/explore?q=lautrec+dark+souls&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Dark Souls,19,Pontiff sulyvahn,https://trends.google.ca/trends/explore?q=pontiff+sulyvahn&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Dark Souls,20,Dark souls name generator,https://trends.google.ca/trends/explore?q=dark+souls+name+generator&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Dark Souls,21,Vordt of the boreal valley,https://trends.google.ca/trends/explore?q=vordt+of+the+boreal+valley&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Dark Souls,22,Dark souls 1 dlc,https://trends.google.ca/trends/explore?q=dark+souls+1+dlc&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Dark Souls,23,Basement key dark souls,https://trends.google.ca/trends/explore?q=basement+key+dark+souls&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Dark Souls,24,Is dark souls 3 cross platform,https://trends.google.ca/trends/explore?q=is+dark+souls+3+cross+platform&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
