Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
DC Comics,1,Firefly dc comics,https://trends.google.ca/trends/explore?q=firefly+dc+comics&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
DC Comics,2,Dc comics new releases,https://trends.google.ca/trends/explore?q=dc+comics+new+releases&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
DC Comics,3,Dc all in special #1,https://trends.google.ca/trends/explore?q=dc+all+in+special+%231&date=now+1-d&geo=US,+450%,217,Franchise,2024-10-02
DC Comics,4,Dc comics october 2024 solicitations,https://trends.google.ca/trends/explore?q=dc+comics+october+2024+solicitations&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
DC Comics,5,Dick grayson,https://trends.google.ca/trends/explore?q=dick+grayson&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
DC Comics,6,Absolute batman release date,https://trends.google.ca/trends/explore?q=absolute+batman+release+date&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
DC Comics,7,Dc comics logo,https://trends.google.ca/trends/explore?q=dc+comics+logo&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
DC Comics,8,Nightwing,https://trends.google.ca/trends/explore?q=nightwing&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
DC Comics,9,Suicide squad,https://trends.google.ca/trends/explore?q=suicide+squad&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
DC Comics,10,Dc comics release schedule,https://trends.google.ca/trends/explore?q=dc+comics+release+schedule&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
DC Comics,11,Absolute power dc,https://trends.google.ca/trends/explore?q=absolute+power+dc&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
DC Comics,12,New comics this week,https://trends.google.ca/trends/explore?q=new+comics+this+week&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
DC Comics,13,Dc all in,https://trends.google.ca/trends/explore?q=dc+all+in&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
DC Comics,14,Harley quinn,https://trends.google.ca/trends/explore?q=harley+quinn&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
