Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
DC Universe,1,Dc all in special #1,https://trends.google.ca/trends/explore?q=dc+all+in+special+%231&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-01
DC Universe,2,Kevin conroy,https://trends.google.ca/trends/explore?q=kevin+conroy&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-01
DC Universe,3,Who created the dc universe,https://trends.google.ca/trends/explore?q=who+created+the+dc+universe&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-01
DC Universe,4,Indexdjx .dji,https://trends.google.ca/trends/explore?q=indexdjx+.dji&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-01
DC Universe,5,Dc universe online mods,https://trends.google.ca/trends/explore?q=dc+universe+online+mods&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-01
DC Universe,6,Mortal kombat 9,https://trends.google.ca/trends/explore?q=mortal+kombat+9&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-01
DC Universe,7,Dc universe online wiki,https://trends.google.ca/trends/explore?q=dc+universe+online+wiki&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-01
DC Universe,8,Dc universe online crossplay,https://trends.google.ca/trends/explore?q=dc+universe+online+crossplay&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-01
DC Universe,9,Who created dc universe,https://trends.google.ca/trends/explore?q=who+created+dc+universe&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-01
DC Universe,10,Amalgam universe,https://trends.google.ca/trends/explore?q=amalgam+universe&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
DC Universe,11,Marvel ultimate universe,https://trends.google.ca/trends/explore?q=marvel+ultimate+universe&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
DC Universe,12,Mortal kombat vs dc universe 2,https://trends.google.ca/trends/explore?q=mortal+kombat+vs+dc+universe+2&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
DC Universe,13,Mortal kombat vs dc universe ps4,https://trends.google.ca/trends/explore?q=mortal+kombat+vs+dc+universe+ps4&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
DC Universe,14,Mk vs dc universe,https://trends.google.ca/trends/explore?q=mk+vs+dc+universe&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
DC Universe,15,Mortal kombat vs dc universe fatalities,https://trends.google.ca/trends/explore?q=mortal+kombat+vs+dc+universe+fatalities&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
DC Universe,16,Dc elseworlds,https://trends.google.ca/trends/explore?q=dc+elseworlds&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
