Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Deadpool 2,1,Death stranding 2,https://trends.google.ca/trends/explore?q=death+stranding+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Deadpool 2,2,Constantine 2,https://trends.google.ca/trends/explore?q=constantine+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Deadpool 2,3,Silent hill 2,https://trends.google.ca/trends/explore?q=silent+hill+2&date=now+7-d&geo=US,+550%,154,Movie,2024-10-03
Deadpool 2,4,Last of us season 2,https://trends.google.ca/trends/explore?q=last+of+us+season+2&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Deadpool 2,5,The penguin episode 2,https://trends.google.ca/trends/explore?q=the+penguin+episode+2&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Deadpool 2,6,The last of us season 2,https://trends.google.ca/trends/explore?q=the+last+of+us+season+2&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Deadpool 2,7,Matt damon,https://trends.google.ca/trends/explore?q=matt+damon&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Deadpool 2,8,Matt damon deadpool 2,https://trends.google.ca/trends/explore?q=matt+damon+deadpool+2&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Deadpool 2,9,When did inside out 2 come out,https://trends.google.ca/trends/explore?q=when+did+inside+out+2+come+out&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Deadpool 2,10,Josh brolin movies and tv shows,https://trends.google.ca/trends/explore?q=josh+brolin+movies+and+tv+shows&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Deadpool 2,11,Emma corrin,https://trends.google.ca/trends/explore?q=emma+corrin&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Deadpool 2,12,The wild robot,https://trends.google.ca/trends/explore?q=the+wild+robot&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Deadpool 2,13,Joker 2,https://trends.google.ca/trends/explore?q=joker+2&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Deadpool 2,14,Joker,https://trends.google.ca/trends/explore?q=joker&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Deadpool 2,15,Smile 2,https://trends.google.ca/trends/explore?q=smile+2&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Deadpool 2,16,Joker folie à deux,https://trends.google.ca/trends/explore?q=joker+folie+%C3%A0+deux&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Deadpool 2,17,Did vanessa die in deadpool 2,https://trends.google.ca/trends/explore?q=did+vanessa+die+in+deadpool+2&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Deadpool 2,18,Vudu,https://trends.google.ca/trends/explore?q=vudu&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Deadpool 2,19,Deadpool 2 super duper cut,https://trends.google.ca/trends/explore?q=deadpool+2+super+duper+cut&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Deadpool 2,20,Deadpool 2 ending,https://trends.google.ca/trends/explore?q=deadpool+2+ending&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Deadpool 2,21,Does vanessa die in deadpool 2,https://trends.google.ca/trends/explore?q=does+vanessa+die+in+deadpool+2&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Deadpool 2,22,Rings of power season 2,https://trends.google.ca/trends/explore?q=rings+of+power+season+2&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Deadpool 2,23,When does deadpool and wolverine come to disney plus,https://trends.google.ca/trends/explore?q=when+does+deadpool+and+wolverine+come+to+disney+plus&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Deadpool 2,24,Venom the last dance,https://trends.google.ca/trends/explore?q=venom+the+last+dance&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Deadpool 2,25,Deadpool and wolverine 4k steelbook,https://trends.google.ca/trends/explore?q=deadpool+and+wolverine+4k+steelbook&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
