Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Detective Pikachu,1,Detective pikachu packs,https://trends.google.ca/trends/explore?q=detective+pikachu+packs&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Detective Pikachu,2,Ken watanabe,https://trends.google.ca/trends/explore?q=ken+watanabe&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Detective Pikachu,3,Freaky,https://trends.google.ca/trends/explore?q=freaky&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Detective Pikachu,4,Karan soni,https://trends.google.ca/trends/explore?q=karan+soni&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Detective Pikachu,5,Who voices pikachu in detective pikachu,https://trends.google.ca/trends/explore?q=who+voices+pikachu+in+detective+pikachu&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Detective Pikachu,6,Rango,https://trends.google.ca/trends/explore?q=rango&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Detective Pikachu,7,Detective pikachu 2 trailer,https://trends.google.ca/trends/explore?q=detective+pikachu+2+trailer&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Detective Pikachu,8,Ditto detective pikachu,https://trends.google.ca/trends/explore?q=ditto+detective+pikachu&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Detective Pikachu,9,Detective pikachu trailer,https://trends.google.ca/trends/explore?q=detective+pikachu+trailer&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Detective Pikachu,10,Detective pikachu sm190,https://trends.google.ca/trends/explore?q=detective+pikachu+sm190&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Detective Pikachu,11,When did detective pikachu come out,https://trends.google.ca/trends/explore?q=when+did+detective+pikachu+come+out&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Detective Pikachu,12,Where to stream detective pikachu,https://trends.google.ca/trends/explore?q=where+to+stream+detective+pikachu&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Detective Pikachu,13,Detective pikachu budget,https://trends.google.ca/trends/explore?q=detective+pikachu+budget&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Detective Pikachu,14,Greninja,https://trends.google.ca/trends/explore?q=greninja&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Detective Pikachu,15,Ditto,https://trends.google.ca/trends/explore?q=ditto&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Detective Pikachu,16,Detective pikachu card list,https://trends.google.ca/trends/explore?q=detective+pikachu+card+list&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Detective Pikachu,17,Detective pikachu full movie,https://trends.google.ca/trends/explore?q=detective+pikachu+full+movie&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Detective Pikachu,18,Detective pikachu snorlax,https://trends.google.ca/trends/explore?q=detective+pikachu+snorlax&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Detective Pikachu,19,Who voiced pikachu in detective pikachu,https://trends.google.ca/trends/explore?q=who+voiced+pikachu+in+detective+pikachu&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Detective Pikachu,20,Charizard ex,https://trends.google.ca/trends/explore?q=charizard+ex&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Detective Pikachu,21,Detective pikachu imdb,https://trends.google.ca/trends/explore?q=detective+pikachu+imdb&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Detective Pikachu,22,Psyduck,https://trends.google.ca/trends/explore?q=psyduck&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Detective Pikachu,23,Detective pikachu nintendo switch,https://trends.google.ca/trends/explore?q=detective+pikachu+nintendo+switch&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
