Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Die Hard,1,Die hard two cast,https://trends.google.ca/trends/explore?q=die+hard+two+cast&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,2,Ben affleck,https://trends.google.ca/trends/explore?q=ben+affleck&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,3,John amos net worth,https://trends.google.ca/trends/explore?q=john+amos+net+worth&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,4,Cleo mcdowell,https://trends.google.ca/trends/explore?q=cleo+mcdowell&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,5,Armageddon,https://trends.google.ca/trends/explore?q=armageddon&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,6,Alan rickman movies,https://trends.google.ca/trends/explore?q=alan+rickman+movies&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,7,John mclain,https://trends.google.ca/trends/explore?q=john+mclain&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,8,The fresh prince of bel-air,https://trends.google.ca/trends/explore?q=the+fresh+prince+of+bel-air&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Die Hard,9,Family matters,https://trends.google.ca/trends/explore?q=family+matters&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Die Hard,10,Die hard box office,https://trends.google.ca/trends/explore?q=die+hard+box+office&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Die Hard,11,Danny glover,https://trends.google.ca/trends/explore?q=danny+glover&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Die Hard,12,Die hard samuel jackson,https://trends.google.ca/trends/explore?q=die+hard+samuel+jackson&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Die Hard,13,Cast of die hard 2,https://trends.google.ca/trends/explore?q=cast+of+die+hard+2&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Die Hard,14,John amos movies,https://trends.google.ca/trends/explore?q=john+amos+movies&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Die Hard,15,James amos,https://trends.google.ca/trends/explore?q=james+amos&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Die Hard,16,Die hard franchise,https://trends.google.ca/trends/explore?q=die+hard+franchise&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Die Hard,17,Where to watch die hard,https://trends.google.ca/trends/explore?q=where+to+watch+die+hard&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Die Hard,18,Liv tyler,https://trends.google.ca/trends/explore?q=liv+tyler&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Die Hard,19,Die hard cast 3,https://trends.google.ca/trends/explore?q=die+hard+cast+3&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Die Hard,20,Die hard 2 cast,https://trends.google.ca/trends/explore?q=die+hard+2+cast&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Die Hard,21,Die hard series,https://trends.google.ca/trends/explore?q=die+hard+series&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
