Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Doctor Who,1,Maggie smith doctor who,https://trends.google.ca/trends/explore?q=maggie+smith+doctor+who&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Doctor Who,2,Joshua jackson movies and tv shows,https://trends.google.ca/trends/explore?q=joshua+jackson+movies+and+tv+shows&date=now+7-d&geo=US,"+3,400%",216,TV Show,2024-10-03
Doctor Who,3,Joshua jackson,https://trends.google.ca/trends/explore?q=joshua+jackson&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
Doctor Who,4,Doctor odyssey,https://trends.google.ca/trends/explore?q=doctor+odyssey&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
Doctor Who,5,Cast of doctor odyssey,https://trends.google.ca/trends/explore?q=cast+of+doctor+odyssey&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Doctor Who,6,Doctor odyssey cast,https://trends.google.ca/trends/explore?q=doctor+odyssey+cast&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Doctor Who,7,Dan lewis doctor who,https://trends.google.ca/trends/explore?q=dan+lewis+doctor+who&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Doctor Who,8,Who owns doctor pepper,https://trends.google.ca/trends/explore?q=who+owns+doctor+pepper&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
Doctor Who,9,"Which of the following best describes the idea of co-production of health care services, as described by dr. maren batalden?","https://trends.google.ca/trends/explore?q=which+of+the+following+best+describes+the+idea+of+co-production+of+health+care+services,+as+described+by+dr.+maren+batalden?&date=now+7-d&geo=US",+100%,216,TV Show,2024-10-03
Doctor Who,10,Nardole doctor who,https://trends.google.ca/trends/explore?q=nardole+doctor+who&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Doctor Who,11,Who is the new doctor on chicago med,https://trends.google.ca/trends/explore?q=who+is+the+new+doctor+on+chicago+med&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Doctor Who,12,Mrs flood doctor who,https://trends.google.ca/trends/explore?q=mrs+flood+doctor+who&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Doctor Who,13,Doctor who game thirteen,https://trends.google.ca/trends/explore?q=doctor+who+game+thirteen&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
