Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Doom Patrol,1,Invincible,https://trends.google.ca/trends/explore?q=invincible&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Doom Patrol,2,Mr. nobody,https://trends.google.ca/trends/explore?q=mr.+nobody&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Doom Patrol,3,Mr. nobody doom patrol,https://trends.google.ca/trends/explore?q=mr.+nobody+doom+patrol&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Doom Patrol,4,Cast of doom patrol,https://trends.google.ca/trends/explore?q=cast+of+doom+patrol&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Doom Patrol,5,Madame rouge,https://trends.google.ca/trends/explore?q=madame+rouge&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Doom Patrol,6,Titans cast,https://trends.google.ca/trends/explore?q=titans+cast&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
Doom Patrol,7,Doom patrol rita,https://trends.google.ca/trends/explore?q=doom+patrol+rita&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Doom Patrol,8,Doom patrol characters,https://trends.google.ca/trends/explore?q=doom+patrol+characters&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Doom Patrol,9,Dead boy detectives doom patrol,https://trends.google.ca/trends/explore?q=dead+boy+detectives+doom+patrol&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Doom Patrol,10,Dorothy doom patrol,https://trends.google.ca/trends/explore?q=dorothy+doom+patrol&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Doom Patrol,11,Madeline zima doom patrol,https://trends.google.ca/trends/explore?q=madeline+zima+doom+patrol&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Doom Patrol,12,Doom patrol mr nobody,https://trends.google.ca/trends/explore?q=doom+patrol+mr+nobody&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
