Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Downton Abbey,1,Where is downton abbey filmed,https://trends.google.ca/trends/explore?q=where+is+downton+abbey+filmed&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,2,How many episodes of downton abbey,https://trends.google.ca/trends/explore?q=how+many+episodes+of+downton+abbey&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,3,Sybil crawley,https://trends.google.ca/trends/explore?q=sybil+crawley&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,4,Who does edith marry in downton abbey,https://trends.google.ca/trends/explore?q=who+does+edith+marry+in+downton+abbey&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,5,When is downton abbey set,https://trends.google.ca/trends/explore?q=when+is+downton+abbey+set&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,6,Ed speleers,https://trends.google.ca/trends/explore?q=ed+speleers&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Downton Abbey,7,Who does mary marry in downton abbey,https://trends.google.ca/trends/explore?q=who+does+mary+marry+in+downton+abbey&date=now+1-d&geo=US,+400%,217,Franchise,2024-10-02
Downton Abbey,8,Imdb downton abbey,https://trends.google.ca/trends/explore?q=imdb+downton+abbey&date=now+1-d&geo=US,+300%,217,Franchise,2024-10-02
Downton Abbey,9,Lady sybil downton abbey,https://trends.google.ca/trends/explore?q=lady+sybil+downton+abbey&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Downton Abbey,10,Dominic west,https://trends.google.ca/trends/explore?q=dominic+west&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Downton Abbey,11,Robert james collier,https://trends.google.ca/trends/explore?q=robert+james+collier&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Downton Abbey,12,Downton abbey time period,https://trends.google.ca/trends/explore?q=downton+abbey+time+period&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Downton Abbey,13,Professor mcgonagall,https://trends.google.ca/trends/explore?q=professor+mcgonagall&date=now+1-d&geo=US,+190%,217,Franchise,2024-10-02
Downton Abbey,14,Patrick crawley downton abbey,https://trends.google.ca/trends/explore?q=patrick+crawley+downton+abbey&date=now+1-d&geo=US,+190%,217,Franchise,2024-10-02
Downton Abbey,15,Imelda staunton downton abbey,https://trends.google.ca/trends/explore?q=imelda+staunton+downton+abbey&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Downton Abbey,16,Matthew goode downton abbey,https://trends.google.ca/trends/explore?q=matthew+goode+downton+abbey&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Downton Abbey,17,Allen leech,https://trends.google.ca/trends/explore?q=allen+leech&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Downton Abbey,18,Matthew goode,https://trends.google.ca/trends/explore?q=matthew+goode&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Downton Abbey,19,Downton abbey wiki,https://trends.google.ca/trends/explore?q=downton+abbey+wiki&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Downton Abbey,20,Jessica brown findlay,https://trends.google.ca/trends/explore?q=jessica+brown+findlay&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Downton Abbey,21,Dan stevens downton abbey,https://trends.google.ca/trends/explore?q=dan+stevens+downton+abbey&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Downton Abbey,22,Downton abbey actress dies,https://trends.google.ca/trends/explore?q=downton+abbey+actress+dies&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Downton Abbey,23,Where can i watch downton abbey,https://trends.google.ca/trends/explore?q=where+can+i+watch+downton+abbey&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Downton Abbey,24,Mr bates downton abbey,https://trends.google.ca/trends/explore?q=mr+bates+downton+abbey&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Downton Abbey,25,Lady mary downton abbey,https://trends.google.ca/trends/explore?q=lady+mary+downton+abbey&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
