Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Dragon Quest,1,Yuji horii,https://trends.google.ca/trends/explore?q=yuji+horii&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Dragon Quest,2,Lunar remastered collection,https://trends.google.ca/trends/explore?q=lunar+remastered+collection&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Dragon Quest,3,Threads of time,https://trends.google.ca/trends/explore?q=threads+of+time&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Dragon Quest,4,Tokyo game show 2024,https://trends.google.ca/trends/explore?q=tokyo+game+show+2024&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
Dragon Quest,5,Metaphor refantazio release date,https://trends.google.ca/trends/explore?q=metaphor+refantazio+release+date&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Dragon Quest,6,Meta quest 3s,https://trends.google.ca/trends/explore?q=meta+quest+3s&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Dragon Quest,7,Dragon quest creator,https://trends.google.ca/trends/explore?q=dragon+quest+creator&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Dragon Quest,8,Dragon quest 3 hd-2d remake,https://trends.google.ca/trends/explore?q=dragon+quest+3+hd-2d+remake&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Dragon Quest,9,Dragon quest 3 censorship,https://trends.google.ca/trends/explore?q=dragon+quest+3+censorship&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Dragon Quest,10,Tokyo game show,https://trends.google.ca/trends/explore?q=tokyo+game+show&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Dragon Quest,11,Trials of mana,https://trends.google.ca/trends/explore?q=trials+of+mana&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Dragon Quest,12,Suikoden remaster,https://trends.google.ca/trends/explore?q=suikoden+remaster&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Dragon Quest,13,Dragon quest 3 remake censorship,https://trends.google.ca/trends/explore?q=dragon+quest+3+remake+censorship&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Dragon Quest,14,Sweet baby inc,https://trends.google.ca/trends/explore?q=sweet+baby+inc&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Dragon Quest,15,Sea of stars,https://trends.google.ca/trends/explore?q=sea+of+stars&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Dragon Quest,16,Dragon quest 3 hd-2d release date,https://trends.google.ca/trends/explore?q=dragon+quest+3+hd-2d+release+date&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Dragon Quest,17,Dragon quest the dark prince synthesis guide,https://trends.google.ca/trends/explore?q=dragon+quest+the+dark+prince+synthesis+guide&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Dragon Quest,18,Dragon quest 3 hd-2d,https://trends.google.ca/trends/explore?q=dragon+quest+3+hd-2d&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Dragon Quest,19,Dragon quest iii remake,https://trends.google.ca/trends/explore?q=dragon+quest+iii+remake&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Dragon Quest,20,Dragon quest iii,https://trends.google.ca/trends/explore?q=dragon+quest+iii&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Dragon Quest,21,Dragon quest 3 remake,https://trends.google.ca/trends/explore?q=dragon+quest+3+remake&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Dragon Quest,22,Dragon quest hd,https://trends.google.ca/trends/explore?q=dragon+quest+hd&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Dragon Quest,23,Dragon quest remake,https://trends.google.ca/trends/explore?q=dragon+quest+remake&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Dragon Quest,24,Dragon quest 3 hd,https://trends.google.ca/trends/explore?q=dragon+quest+3+hd&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Dragon Quest,25,Dragon quest hd 2d,https://trends.google.ca/trends/explore?q=dragon+quest+hd+2d&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
