Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Elemental,1,Maya hawke,https://trends.google.ca/trends/explore?q=maya+hawke&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Elemental,2,Elemental cider,https://trends.google.ca/trends/explore?q=elemental+cider&date=now+7-d&geo=US,+600%,154,Movie,2024-10-03
Elemental,3,Cast of inside out 2,https://trends.google.ca/trends/explore?q=cast+of+inside+out+2&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Elemental,4,Adèle exarchopoulos movies,https://trends.google.ca/trends/explore?q=ad%C3%A8le+exarchopoulos+movies&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Elemental,5,Adèle exarchopoulos elemental,https://trends.google.ca/trends/explore?q=ad%C3%A8le+exarchopoulos+elemental&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Elemental,6,Adèle exarchopoulos,https://trends.google.ca/trends/explore?q=ad%C3%A8le+exarchopoulos&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Elemental,7,A bite from a mackled malaclaw has the,https://trends.google.ca/trends/explore?q=a+bite+from+a+mackled+malaclaw+has+the&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Elemental,8,Inside out 2 cast,https://trends.google.ca/trends/explore?q=inside+out+2+cast&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Elemental,9,Inside out cast,https://trends.google.ca/trends/explore?q=inside+out+cast&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Elemental,10,Theraleaf,https://trends.google.ca/trends/explore?q=theraleaf&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Elemental,11,Elemental voice cast,https://trends.google.ca/trends/explore?q=elemental+voice+cast&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Elemental,12,Where is ilvermorny school located,https://trends.google.ca/trends/explore?q=where+is+ilvermorny+school+located&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Elemental,13,Elemental dungeon codes,https://trends.google.ca/trends/explore?q=elemental+dungeon+codes&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Elemental,14,Elemental box office,https://trends.google.ca/trends/explore?q=elemental+box+office&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Elemental,15,Elemental reviews,https://trends.google.ca/trends/explore?q=elemental+reviews&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Elemental,16,Elemental hero flame wingman,https://trends.google.ca/trends/explore?q=elemental+hero+flame+wingman&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Elemental,17,Divine duality elemental,https://trends.google.ca/trends/explore?q=divine+duality+elemental&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Elemental,18,Ember from elemental,https://trends.google.ca/trends/explore?q=ember+from+elemental&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Elemental,19,Elemental gelade,https://trends.google.ca/trends/explore?q=elemental+gelade&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Elemental,20,Cast of elemental,https://trends.google.ca/trends/explore?q=cast+of+elemental&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Elemental,21,The elemental trail map 1,https://trends.google.ca/trends/explore?q=the+elemental+trail+map+1&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Elemental,22,Wow elemental shaman stat priority,https://trends.google.ca/trends/explore?q=wow+elemental+shaman+stat+priority&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Elemental,23,Emeric the evil was killed in a duel against whom,https://trends.google.ca/trends/explore?q=emeric+the+evil+was+killed+in+a+duel+against+whom&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Elemental,24,Inside out,https://trends.google.ca/trends/explore?q=inside+out&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
