Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Evil Dead Rise,1,Do you see what i see,https://trends.google.ca/trends/explore?q=do+you+see+what+i+see&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,2,Do you see what i see movie,https://trends.google.ca/trends/explore?q=do+you+see+what+i+see+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,3,Morgan davies as a kid,https://trends.google.ca/trends/explore?q=morgan+davies+as+a+kid&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,4,Countdown movie,https://trends.google.ca/trends/explore?q=countdown+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,5,House of spoils,https://trends.google.ca/trends/explore?q=house+of+spoils&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,6,Drag me to hell,https://trends.google.ca/trends/explore?q=drag+me+to+hell&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,7,Megan is missing,https://trends.google.ca/trends/explore?q=megan+is+missing&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Evil Dead Rise,8,Evil dead rise part 2,https://trends.google.ca/trends/explore?q=evil+dead+rise+part+2&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
Evil Dead Rise,9,Evil dead 2021,https://trends.google.ca/trends/explore?q=evil+dead+2021&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Evil Dead Rise,10,Apartment 7a,https://trends.google.ca/trends/explore?q=apartment+7a&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Evil Dead Rise,11,Annabelle,https://trends.google.ca/trends/explore?q=annabelle&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Evil Dead Rise,12,The ritual,https://trends.google.ca/trends/explore?q=the+ritual&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,13,The shining,https://trends.google.ca/trends/explore?q=the+shining&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,14,Insidious 5,https://trends.google.ca/trends/explore?q=insidious+5&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,15,No one gets out alive,https://trends.google.ca/trends/explore?q=no+one+gets+out+alive&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,16,The haunting in connecticut,https://trends.google.ca/trends/explore?q=the+haunting+in+connecticut&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,17,Stranger things,https://trends.google.ca/trends/explore?q=stranger+things&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Evil Dead Rise,18,Creep movie,https://trends.google.ca/trends/explore?q=creep+movie&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Evil Dead Rise,19,Tarot movie,https://trends.google.ca/trends/explore?q=tarot+movie&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Evil Dead Rise,20,The ring,https://trends.google.ca/trends/explore?q=the+ring&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Evil Dead Rise,21,Penelope,https://trends.google.ca/trends/explore?q=penelope&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Evil Dead Rise,22,Abigail,https://trends.google.ca/trends/explore?q=abigail&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Evil Dead Rise,23,Halloween 2018,https://trends.google.ca/trends/explore?q=halloween+2018&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Evil Dead Rise,24,The visit,https://trends.google.ca/trends/explore?q=the+visit&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Evil Dead Rise,25,Evil dead rise streaming service,https://trends.google.ca/trends/explore?q=evil+dead+rise+streaming+service&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
