Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Evil Dead,1,Evil dead the game update,https://trends.google.ca/trends/explore?q=evil+dead+the+game+update&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Evil Dead,2,Bridgerton,https://trends.google.ca/trends/explore?q=bridgerton&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Evil Dead,3,Shout group,https://trends.google.ca/trends/explore?q=shout+group&date=now+7-d&geo=US,"+2,300%",217,Franchise,2024-10-03
Evil Dead,4,Apartment 7a,https://trends.google.ca/trends/explore?q=apartment+7a&date=now+7-d&geo=US,+700%,217,Franchise,2024-10-03
Evil Dead,5,Evil dead rise part 2,https://trends.google.ca/trends/explore?q=evil+dead+rise+part+2&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
Evil Dead,6,Evil dead birdhouse,https://trends.google.ca/trends/explore?q=evil+dead+birdhouse&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
Evil Dead,7,Is evil dead rise based on a true story,https://trends.google.ca/trends/explore?q=is+evil+dead+rise+based+on+a+true+story&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Evil Dead,8,Morgan davies as a kid,https://trends.google.ca/trends/explore?q=morgan+davies+as+a+kid&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-03
Evil Dead,9,Silence of the lambs,https://trends.google.ca/trends/explore?q=silence+of+the+lambs&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Evil Dead,10,Annabelle,https://trends.google.ca/trends/explore?q=annabelle&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Evil Dead,11,Scary stories to tell in the dark,https://trends.google.ca/trends/explore?q=scary+stories+to+tell+in+the+dark&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Evil Dead,12,Talk to me movie,https://trends.google.ca/trends/explore?q=talk+to+me+movie&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Evil Dead,13,Tarot movie,https://trends.google.ca/trends/explore?q=tarot+movie&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Evil Dead,14,The evil dead director,https://trends.google.ca/trends/explore?q=the+evil+dead+director&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Evil Dead,15,The watchers,https://trends.google.ca/trends/explore?q=the+watchers&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Evil Dead,16,Evil dead rise full movie,https://trends.google.ca/trends/explore?q=evil+dead+rise+full+movie&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Evil Dead,17,The shining,https://trends.google.ca/trends/explore?q=the+shining&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Evil Dead,18,Tarot,https://trends.google.ca/trends/explore?q=tarot&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Evil Dead,19,Evil dead director,https://trends.google.ca/trends/explore?q=evil+dead+director&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Evil Dead,20,Get out,https://trends.google.ca/trends/explore?q=get+out&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Evil Dead,21,Ash evil dead costume,https://trends.google.ca/trends/explore?q=ash+evil+dead+costume&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Evil Dead,22,The ritual,https://trends.google.ca/trends/explore?q=the+ritual&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Evil Dead,23,Is evil dead rise scary,https://trends.google.ca/trends/explore?q=is+evil+dead+rise+scary&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Evil Dead,24,I saw the tv glow,https://trends.google.ca/trends/explore?q=i+saw+the+tv+glow&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Evil Dead,25,Fright night,https://trends.google.ca/trends/explore?q=fright+night&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
