Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Family Guy,1,Family guy the quest for stuff,https://trends.google.ca/trends/explore?q=family+guy+the+quest+for+stuff&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Family Guy,2,Family guy customer of the week,https://trends.google.ca/trends/explore?q=family+guy+customer+of+the+week&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Family Guy,3,Family guy dead pose,https://trends.google.ca/trends/explore?q=family+guy+dead+pose&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Family Guy,4,Tracie thoms,https://trends.google.ca/trends/explore?q=tracie+thoms&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Family Guy,5,Where can u watch family guy,https://trends.google.ca/trends/explore?q=where+can+u+watch+family+guy&date=now+1-d&geo=US,"+3,900%",216,TV Show,2024-10-02
Family Guy,6,Family guy star wars episodes list,https://trends.google.ca/trends/explore?q=family+guy+star+wars+episodes+list&date=now+1-d&geo=US,"+3,750%",216,TV Show,2024-10-02
Family Guy,7,Family guy dvd set,https://trends.google.ca/trends/explore?q=family+guy+dvd+set&date=now+1-d&geo=US,"+3,650%",216,TV Show,2024-10-02
Family Guy,8,Family guy game of thrones episode,https://trends.google.ca/trends/explore?q=family+guy+game+of+thrones+episode&date=now+1-d&geo=US,+450%,216,TV Show,2024-10-02
Family Guy,9,Family guy terminator,https://trends.google.ca/trends/explore?q=family+guy+terminator&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
Family Guy,10,Does disney own family guy,https://trends.google.ca/trends/explore?q=does+disney+own+family+guy&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
Family Guy,11,American dad season 20,https://trends.google.ca/trends/explore?q=american+dad+season+20&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Family Guy,12,Family guy shawshank,https://trends.google.ca/trends/explore?q=family+guy+shawshank&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Family Guy,13,Norm macdonald,https://trends.google.ca/trends/explore?q=norm+macdonald&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Family Guy,14,When is family guy coming back,https://trends.google.ca/trends/explore?q=when+is+family+guy+coming+back&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
Family Guy,15,Family guy game of thrones,https://trends.google.ca/trends/explore?q=family+guy+game+of+thrones&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Family Guy,16,Family guy back to the multiverse,https://trends.google.ca/trends/explore?q=family+guy+back+to+the+multiverse&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Family Guy,17,Family guy halloween episodes list,https://trends.google.ca/trends/explore?q=family+guy+halloween+episodes+list&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Family Guy,18,Family guy dvd,https://trends.google.ca/trends/explore?q=family+guy+dvd&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Family Guy,19,Family guy season 6,https://trends.google.ca/trends/explore?q=family+guy+season+6&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Family Guy,20,What season is family guy on,https://trends.google.ca/trends/explore?q=what+season+is+family+guy+on&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Family Guy,21,Family guy trump episode,https://trends.google.ca/trends/explore?q=family+guy+trump+episode&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Family Guy,22,Lacey chabert,https://trends.google.ca/trends/explore?q=lacey+chabert&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Family Guy,23,Dog from family guy,https://trends.google.ca/trends/explore?q=dog+from+family+guy&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Family Guy,24,Regular show,https://trends.google.ca/trends/explore?q=regular+show&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
