Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fantastic Beasts and Where to Find Them,1,Harry potter and the philosopher's stone,https://trends.google.ca/trends/explore?q=harry+potter+and+the+philosopher's+stone&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,2,Gyeongseong creature cast,https://trends.google.ca/trends/explore?q=gyeongseong+creature+cast&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,3,Queenie goldstein,https://trends.google.ca/trends/explore?q=queenie+goldstein&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,4,Jacob kowalski,https://trends.google.ca/trends/explore?q=jacob+kowalski&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,5,Fantastic beasts and where to find them audiobook,https://trends.google.ca/trends/explore?q=fantastic+beasts+and+where+to+find+them+audiobook&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,6,Jamie campbell bower,https://trends.google.ca/trends/explore?q=jamie+campbell+bower&date=now+7-d&geo=US,+600%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,7,How many fantastic beasts movies are there,https://trends.google.ca/trends/explore?q=how+many+fantastic+beasts+movies+are+there&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,8,Harry potter and the order of the phoenix,https://trends.google.ca/trends/explore?q=harry+potter+and+the+order+of+the+phoenix&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,9,Fantastic beasts and where to find them streaming,https://trends.google.ca/trends/explore?q=fantastic+beasts+and+where+to+find+them+streaming&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,10,Harry potter 7,https://trends.google.ca/trends/explore?q=harry+potter+7&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,11,Jude law,https://trends.google.ca/trends/explore?q=jude+law&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,12,Sweeney todd,https://trends.google.ca/trends/explore?q=sweeney+todd&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,13,Albus dumbledore,https://trends.google.ca/trends/explore?q=albus+dumbledore&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,14,Newt scamander,https://trends.google.ca/trends/explore?q=newt+scamander&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,15,Fantastic beasts the secrets of dumbledore,https://trends.google.ca/trends/explore?q=fantastic+beasts+the+secrets+of+dumbledore&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Fantastic Beasts and Where to Find Them,16,Fantastic beasts and where to find them credence,https://trends.google.ca/trends/explore?q=fantastic+beasts+and+where+to+find+them+credence&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
