Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fantastic Four,1,Kang the conqueror,https://trends.google.ca/trends/explore?q=kang+the+conqueror&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-01
Fantastic Four,2,Archenemy of the fantastic four,https://trends.google.ca/trends/explore?q=archenemy+of+the+fantastic+four&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-01
Fantastic Four,3,Cassandra nova,https://trends.google.ca/trends/explore?q=cassandra+nova&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-01
Fantastic Four,4,Thor 5,https://trends.google.ca/trends/explore?q=thor+5&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-01
Fantastic Four,5,Hulk 2003,https://trends.google.ca/trends/explore?q=hulk+2003&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-01
Fantastic Four,6,Alicia fantastic four,https://trends.google.ca/trends/explore?q=alicia+fantastic+four&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-01
Fantastic Four,7,Jessica alba movies and tv shows,https://trends.google.ca/trends/explore?q=jessica+alba+movies+and+tv+shows&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-01
Fantastic Four,8,Pedro pascal wife,https://trends.google.ca/trends/explore?q=pedro+pascal+wife&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-01
Fantastic Four,9,X men movies in order,https://trends.google.ca/trends/explore?q=x+men+movies+in+order&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
Fantastic Four,10,Ralph ineson,https://trends.google.ca/trends/explore?q=ralph+ineson&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,11,Kerry washington,https://trends.google.ca/trends/explore?q=kerry+washington&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,12,Avengers the kang dynasty,https://trends.google.ca/trends/explore?q=avengers+the+kang+dynasty&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,13,Read comics online,https://trends.google.ca/trends/explore?q=read+comics+online&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,14,Fantasy 5,https://trends.google.ca/trends/explore?q=fantasy+5&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,15,Mister fantastic,https://trends.google.ca/trends/explore?q=mister+fantastic&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Fantastic Four,16,Blade movie,https://trends.google.ca/trends/explore?q=blade+movie&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Fantastic Four,17,Joseph quinn movies and tv shows,https://trends.google.ca/trends/explore?q=joseph+quinn+movies+and+tv+shows&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Fantastic Four,18,Vanessa kirby,https://trends.google.ca/trends/explore?q=vanessa+kirby&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Fantastic Four,19,Maria menounos,https://trends.google.ca/trends/explore?q=maria+menounos&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,20,Jonathan majors,https://trends.google.ca/trends/explore?q=jonathan+majors&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,21,Are the fantastic four mutants,https://trends.google.ca/trends/explore?q=are+the+fantastic+four+mutants&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,22,Fantastic four #94,https://trends.google.ca/trends/explore?q=fantastic+four+%2394&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,23,Marvel united fantastic four,https://trends.google.ca/trends/explore?q=marvel+united+fantastic+four&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,24,Fantastic four 2007,https://trends.google.ca/trends/explore?q=fantastic+four+2007&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Fantastic Four,25,Fantastic four cast 2007,https://trends.google.ca/trends/explore?q=fantastic+four+cast+2007&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
