Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Far Cry,1,The jackal far cry 2,https://trends.google.ca/trends/explore?q=the+jackal+far+cry+2&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Far Cry,2,Far cry 5 comic book locations,https://trends.google.ca/trends/explore?q=far+cry+5+comic+book+locations&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Far Cry,3,Far cry 4 crab rangoon,https://trends.google.ca/trends/explore?q=far+cry+4+crab+rangoon&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Far Cry,4,Far cry 6 oku triada relic,https://trends.google.ca/trends/explore?q=far+cry+6+oku+triada+relic&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Far Cry,5,Far cry 6 radio libertad,https://trends.google.ca/trends/explore?q=far+cry+6+radio+libertad&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Far Cry,6,Ubisoft store,https://trends.google.ca/trends/explore?q=ubisoft+store&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Far Cry,7,Far cry new dawn release date,https://trends.google.ca/trends/explore?q=far+cry+new+dawn+release+date&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Far Cry,8,Should i kill mckay far cry 6,https://trends.google.ca/trends/explore?q=should+i+kill+mckay+far+cry+6&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Far Cry,9,The lion's den far cry 6,https://trends.google.ca/trends/explore?q=the+lion's+den+far+cry+6&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Far Cry,10,Dani rojas far cry 6,https://trends.google.ca/trends/explore?q=dani+rojas+far+cry+6&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Far Cry,11,How long is far cry 3,https://trends.google.ca/trends/explore?q=how+long+is+far+cry+3&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Far Cry,12,High supply far cry 6,https://trends.google.ca/trends/explore?q=high+supply+far+cry+6&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Far Cry,13,Resist or walk away far cry 5,https://trends.google.ca/trends/explore?q=resist+or+walk+away+far+cry+5&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,14,Far cry primal platinum,https://trends.google.ca/trends/explore?q=far+cry+primal+platinum&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,15,Ubisoft games,https://trends.google.ca/trends/explore?q=ubisoft+games&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,16,Far cry 5 coop,https://trends.google.ca/trends/explore?q=far+cry+5+coop&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,17,Far cry 5 interactive map,https://trends.google.ca/trends/explore?q=far+cry+5+interactive+map&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,18,Ao3 far cry 5,https://trends.google.ca/trends/explore?q=ao3+far+cry+5&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Far Cry,19,Far cry 3 villain,https://trends.google.ca/trends/explore?q=far+cry+3+villain&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Far Cry,20,Is farcry 6 crossplay,https://trends.google.ca/trends/explore?q=is+farcry+6+crossplay&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Far Cry,21,Far cry 6 paint the town,https://trends.google.ca/trends/explore?q=far+cry+6+paint+the+town&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Far Cry,22,Far cry 4 trophy guide,https://trends.google.ca/trends/explore?q=far+cry+4+trophy+guide&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Far Cry,23,Assassin's creed shadows,https://trends.google.ca/trends/explore?q=assassin's+creed+shadows&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Far Cry,24,Ubisoft connect,https://trends.google.ca/trends/explore?q=ubisoft+connect&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Far Cry,25,Far cry 6 steam,https://trends.google.ca/trends/explore?q=far+cry+6+steam&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
