Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fast and Furious 11,1,Fate of the furious cast,https://trends.google.ca/trends/explore?q=fate+of+the+furious+cast&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Fast and Furious 11,2,When does fast and furious 11 come out,https://trends.google.ca/trends/explore?q=when+does+fast+and+furious+11+come+out&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Fast and Furious 11,3,Scream 7,https://trends.google.ca/trends/explore?q=scream+7&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Fast and Furious 11,4,Fast 9 cast,https://trends.google.ca/trends/explore?q=fast+9+cast&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Fast and Furious 11,5,Oceans 11,https://trends.google.ca/trends/explore?q=oceans+11&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Fast and Furious 11,6,F10,https://trends.google.ca/trends/explore?q=f10&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Fast and Furious 11,7,Fast and the furious 11 release date,https://trends.google.ca/trends/explore?q=fast+and+the+furious+11+release+date&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Fast and Furious 11,8,Fast and furious 9 cast,https://trends.google.ca/trends/explore?q=fast+and+furious+9+cast&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Fast and Furious 11,9,Fast five,https://trends.google.ca/trends/explore?q=fast+five&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Fast and Furious 11,10,Fast and furious 10 release date,https://trends.google.ca/trends/explore?q=fast+and+furious+10+release+date&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
