Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fast Five,1,Five nights at freddy's movie,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fast Five,2,F5,https://trends.google.ca/trends/explore?q=f5&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Fast Five,3,Eva mendes,https://trends.google.ca/trends/explore?q=eva+mendes&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Fast Five,4,Anna sawai movies and tv shows,https://trends.google.ca/trends/explore?q=anna+sawai+movies+and+tv+shows&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Fast Five,5,The fast and the furious 2001,https://trends.google.ca/trends/explore?q=the+fast+and+the+furious+2001&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Fast Five,6,Five guys nutrition facts,https://trends.google.ca/trends/explore?q=five+guys+nutrition+facts&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Fast Five,7,Red robin,https://trends.google.ca/trends/explore?q=red+robin&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Fast Five,8,Fast and furious 8,https://trends.google.ca/trends/explore?q=fast+and+furious+8&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Fast Five,9,Where to watch fast five,https://trends.google.ca/trends/explore?q=where+to+watch+fast+five&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Fast Five,10,Five nights at freddy's 2,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+2&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Fast Five,11,Fast five actors,https://trends.google.ca/trends/explore?q=fast+five+actors&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Fast Five,12,Five nights at freddy's,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Fast Five,13,Freddy's,https://trends.google.ca/trends/explore?q=freddy's&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
