Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fear the Walking Dead,1,What happened to luciana in fear the walking dead,https://trends.google.ca/trends/explore?q=what+happened+to+luciana+in+fear+the+walking+dead&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Fear the Walking Dead,2,What happened to wendell in fear the walking dead,https://trends.google.ca/trends/explore?q=what+happened+to+wendell+in+fear+the+walking+dead&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Fear the Walking Dead,3,Maggie grace movies and tv shows,https://trends.google.ca/trends/explore?q=maggie+grace+movies+and+tv+shows&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Fear the Walking Dead,4,Sydney lemmon,https://trends.google.ca/trends/explore?q=sydney+lemmon&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Fear the Walking Dead,5,Alexa nisenson age,https://trends.google.ca/trends/explore?q=alexa+nisenson+age&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Fear the Walking Dead,6,Danay garcia,https://trends.google.ca/trends/explore?q=danay+garcia&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Fear the Walking Dead,7,The 100,https://trends.google.ca/trends/explore?q=the+100&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Fear the Walking Dead,8,Nick dies fear the walking dead,https://trends.google.ca/trends/explore?q=nick+dies+fear+the+walking+dead&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Fear the Walking Dead,9,Alycia debnam-carey partner,https://trends.google.ca/trends/explore?q=alycia+debnam-carey+partner&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Fear the Walking Dead,10,What happened to daniel in fear the walking dead,https://trends.google.ca/trends/explore?q=what+happened+to+daniel+in+fear+the+walking+dead&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
Fear the Walking Dead,11,Daniel sharman,https://trends.google.ca/trends/explore?q=daniel+sharman&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Fear the Walking Dead,12,Fear the walking dead alicia death,https://trends.google.ca/trends/explore?q=fear+the+walking+dead+alicia+death&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Fear the Walking Dead,13,Does strand die in fear the walking dead,https://trends.google.ca/trends/explore?q=does+strand+die+in+fear+the+walking+dead&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Fear the Walking Dead,14,Colman domingo,https://trends.google.ca/trends/explore?q=colman+domingo&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Fear the Walking Dead,15,Fear the walking dead in the water,https://trends.google.ca/trends/explore?q=fear+the+walking+dead+in+the+water&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Fear the Walking Dead,16,What happened to al in fear the walking dead,https://trends.google.ca/trends/explore?q=what+happened+to+al+in+fear+the+walking+dead&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Fear the Walking Dead,17,Where to watch fear the walking dead,https://trends.google.ca/trends/explore?q=where+to+watch+fear+the+walking+dead&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Fear the Walking Dead,18,Jake otto fear the walking dead,https://trends.google.ca/trends/explore?q=jake+otto+fear+the+walking+dead&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Fear the Walking Dead,19,Zoe colletti,https://trends.google.ca/trends/explore?q=zoe+colletti&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Fear the Walking Dead,20,Did luciana die in fear the walking dead,https://trends.google.ca/trends/explore?q=did+luciana+die+in+fear+the+walking+dead&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Fear the Walking Dead,21,Madison clark fear the walking dead,https://trends.google.ca/trends/explore?q=madison+clark+fear+the+walking+dead&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Fear the Walking Dead,22,Nick from fear the walking dead,https://trends.google.ca/trends/explore?q=nick+from+fear+the+walking+dead&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
