Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Fire Country,1,Mickey guyton,https://trends.google.ca/trends/explore?q=mickey+guyton&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Fire Country,2,House on fire country song,https://trends.google.ca/trends/explore?q=house+on+fire+country+song&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Fire Country,3,Is fire country new tonight,https://trends.google.ca/trends/explore?q=is+fire+country+new+tonight&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Fire Country,4,Sullivan's crossing,https://trends.google.ca/trends/explore?q=sullivan's+crossing&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Fire Country,5,When does fire country come back,https://trends.google.ca/trends/explore?q=when+does+fire+country+come+back&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Fire Country,6,When does fire country come back on,https://trends.google.ca/trends/explore?q=when+does+fire+country+come+back+on&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Fire Country,7,Seal team season 7,https://trends.google.ca/trends/explore?q=seal+team+season+7&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Fire Country,8,Who does gabriela marry in fire country,https://trends.google.ca/trends/explore?q=who+does+gabriela+marry+in+fire+country&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Fire Country,9,Paola núñez,https://trends.google.ca/trends/explore?q=paola+n%C3%BA%C3%B1ez&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Fire Country,10,Outer banks,https://trends.google.ca/trends/explore?q=outer+banks&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Fire Country,11,Elsbeth season 2,https://trends.google.ca/trends/explore?q=elsbeth+season+2&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Fire Country,12,Does bode get parole,https://trends.google.ca/trends/explore?q=does+bode+get+parole&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
