Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Five Nights at Freddy's,1,Five nights at freddy's into the pit switch,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+into+the+pit+switch&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
Five Nights at Freddy's,2,Five nights at freddy's into the pit nintendo switch,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+into+the+pit+nintendo+switch&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
Five Nights at Freddy's,3,Starfall,https://trends.google.ca/trends/explore?q=starfall&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Five Nights at Freddy's,4,Five nights at freddy's into the pit xbox,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+into+the+pit+xbox&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Five Nights at Freddy's,5,Freddy krueger,https://trends.google.ca/trends/explore?q=freddy+krueger&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Five Nights at Freddy's,6,Five nights at freddy's into the pit platforms,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+into+the+pit+platforms&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Five Nights at Freddy's,7,Five nights at freddy's into the pit,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+into+the+pit&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Five Nights at Freddy's,8,Where is five nights at freddy's streaming,https://trends.google.ca/trends/explore?q=where+is+five+nights+at+freddy's+streaming&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Five Nights at Freddy's,9,Nightmare freddy,https://trends.google.ca/trends/explore?q=nightmare+freddy&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Five Nights at Freddy's,10,Incredibox,https://trends.google.ca/trends/explore?q=incredibox&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Five Nights at Freddy's,11,Huggy wuggy,https://trends.google.ca/trends/explore?q=huggy+wuggy&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Five Nights at Freddy's,12,Five nights at freddy's merch,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+merch&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Five Nights at Freddy's,13,Five nights at freddy's movie box office,https://trends.google.ca/trends/explore?q=five+nights+at+freddy's+movie+box+office&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Five Nights at Freddy's,14,Halloween movies,https://trends.google.ca/trends/explore?q=halloween+movies&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
Five Nights at Freddy's,15,Fnaf into the pit,https://trends.google.ca/trends/explore?q=fnaf+into+the+pit&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
Five Nights at Freddy's,16,Dinosaur game,https://trends.google.ca/trends/explore?q=dinosaur+game&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
