Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
For All Mankind,1,Red moon,https://trends.google.ca/trends/explore?q=red+moon&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
For All Mankind,2,Wolves movie,https://trends.google.ca/trends/explore?q=wolves+movie&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
For All Mankind,3,Red moon movie,https://trends.google.ca/trends/explore?q=red+moon+movie&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
For All Mankind,4,Bloomingdales,https://trends.google.ca/trends/explore?q=bloomingdales&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
For All Mankind,5,Arrow m apparel,https://trends.google.ca/trends/explore?q=arrow+m+apparel&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
For All Mankind,6,Manhunt,https://trends.google.ca/trends/explore?q=manhunt&date=now+7-d&geo=US,"+2,250%",216,TV Show,2024-10-03
For All Mankind,7,Wolfs,https://trends.google.ca/trends/explore?q=wolfs&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
For All Mankind,8,Gordo stevens,https://trends.google.ca/trends/explore?q=gordo+stevens&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
For All Mankind,9,Apollo 13,https://trends.google.ca/trends/explore?q=apollo+13&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
For All Mankind,10,John glenn,https://trends.google.ca/trends/explore?q=john+glenn&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
For All Mankind,11,7 for all mankind josefina,https://trends.google.ca/trends/explore?q=7+for+all+mankind+josefina&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
For All Mankind,12,First man on the moon,https://trends.google.ca/trends/explore?q=first+man+on+the+moon&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
For All Mankind,13,Ted lasso season 4,https://trends.google.ca/trends/explore?q=ted+lasso+season+4&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
For All Mankind,14,Neiman marcus,https://trends.google.ca/trends/explore?q=neiman+marcus&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
For All Mankind,15,Ted kennedy,https://trends.google.ca/trends/explore?q=ted+kennedy&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
For All Mankind,16,Saks off fifth,https://trends.google.ca/trends/explore?q=saks+off+fifth&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
For All Mankind,17,Will there be a season 5 of for all mankind,https://trends.google.ca/trends/explore?q=will+there+be+a+season+5+of+for+all+mankind&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
For All Mankind,18,For all mankind parents guide,https://trends.google.ca/trends/explore?q=for+all+mankind+parents+guide&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
For All Mankind,19,Silo tv series,https://trends.google.ca/trends/explore?q=silo+tv+series&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
For All Mankind,20,For all mankind season 1 cast,https://trends.google.ca/trends/explore?q=for+all+mankind+season+1+cast&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
